m_name,'pota','halo','seagrass','zostera','chara','pois','misc','baumea','schoen'
m0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
R_growth,2,2,1,3.3,0.3,0.4,0.4,0.40,0.40
fT_Method,1,1,1,1,1,1,1,1,1
theta_growth,1.06,1.06,1.1,1.05,1.05,1.1,1.1,1.05,1.05
T_std,18,18,23,12,12,20,20,12,12
T_opt,23,23,28,16,16,31,31,16,16
T_max,35,35,38,23,23,39,39,35,35
lightModel,0,0,0,0,0,0,0,0,0
I_K,180,180,150,200,200,500,500,500,500
I_S,100,100,120,100,100,100,100,100,100
KeMAC,0.00408,0.00408,0.0000,0.0048,0.0048,0.003,0.003,0.0040,0.0040
f_pr,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
R_resp,0.02,0.02,0.02,0.03,0.0375,0.05,0.05,0.05,0.05
theta_resp,1.04,1.04,1.04,1.09,1.09,1.07,1.07,1.09,1.09
salTol,0,0,1,1,0,0,0,0,0
S_bep,1,1,5,1,5,1,1,5,5
S_maxsp,36,36,16,36,40,36,36,40,40
S_opt,1,1,1,1,33,1,1,1,1
K_CD,0,0,0,0,10,0,0,100,120
f_bg,0,0,0,0,0,0,0,0,0
k_omega,0,0,0,0,0,0,0,0,0
Xcc,50,50,40,50,50,60,60,50,50
K_N,1.786,1.786,2.143,2.5,1.6,3.571,3.571,1.60,1.6
X_ncon,0.151,0.151,0.151,0.151,0.137,0.151,0.151,0.137,0.137
K_P,0.3226,0.3226,0.1935,0.1935,0.1935,0.1613,0.1613,0.1613,0.1613
X_pcon,0.0094,0.0094,0.0094,0.0039,0.0039,0.0094,0.0094,0.0094,0.0094
