OBJECTID *,Shape.STLength(),Elevation_mASL
1,230.475164,737
2,79.317928,733
3,132.053021,734
4,1.084813,733
5,3.763195,737
6,14.323856,733
7,9.326497,733
8,195.736638,733
9,123.982787,733
10,4.452066,737
11,224.040113,733
12,214.373343,733
13,46.243824,734
14,39.080972,734
15,5.361814,734
16,21.111376,734
17,185.831075,737
18,81.220374,734
19,9.665699,737
20,173.12775,733
21,3076.577332,733
22,7.387056,737
23,21.491468,734
24,62.713663,734
25,23.681135,737
26,160.630689,733
27,90.296768,733
28,43.290206,733
29,64.580005,733
30,40.454427,733
31,101.661599,733
32,195.69052,734
33,182.141286,733
34,59.776386,733
35,100.415323,733
36,143.999882,733
37,56.061384,733
38,52.319358,733
39,145.717568,737
40,39.554104,733
41,64.868941,733
42,93.771377,734
43,372.540155,734
44,78.663046,733
45,186.438693,737
46,194.548522,734
47,407.06513,733
48,28.22607,733
49,122.951879,737
50,175.377284,735
51,7.749706,737
52,1447.48859,733
53,89.650783,733
54,93.867555,737
55,12.465987,737
56,50.906309,737
57,116.376938,733
58,23.384494,737
59,1079.666983,734
60,3.940038,737
61,196.100713,733
62,121.646504,733
63,16.526419,737
64,39.663903,734
65,21.192923,733
66,203.767779,733
67,130.344305,733
68,53.232157,733
69,486.6969,733
70,53.832158,733
71,64.686174,733
72,35.71115,733
73,4.411644,733
74,84.036773,733
75,24.49685,733
76,88.174562,734
77,650.807149,733
78,249.625522,733
79,272.24832,733
80,3.497351,733
81,190.363598,733
82,135.259164,733
83,87.263849,734
84,141.008028,733
85,81.439947,733
86,480.718018,733
87,107.17858,733
88,525.682845,733
89,61.345354,734
90,51.844759,733
91,16.628456,733
92,558.492819,733
93,258.995027,733
94,6.128307,733
95,174.443348,733
96,270.127664,734
97,14.269786,733
98,4629.353681,737
99,76.092765,733
100,78.62282,737
101,301.364627,733
102,6.6291,737
103,11.665222,733
104,113.013782,733
105,185.501366,733
106,83.396887,733
107,64.735761,733
108,103.082847,733
109,351.232318,733
110,352.954203,733
111,225.832695,737
112,35.741913,733
113,42.308532,733
114,53.500285,737
115,85.862476,733
116,137.871492,733
117,64.167593,733
118,238.226695,733
119,135.40786,733
120,131.630979,733
121,67.478751,733
122,179.95036,733
123,14.001387,733
124,5.614747,733
125,46.671152,733
126,88.4062,733
127,638.872633,733
128,214.970827,733
129,393.331075,733
130,414.312935,733
131,260.290688,733
132,10.986133,733
133,8.706726,733
134,34.460794,733
135,30.338338,733
136,185.504384,733
137,201.329991,733
138,219.173413,733
139,576.702206,737
140,0.52219,733
141,265.740441,734
142,59.126199,733
143,214.612427,733
144,37.878334,733
145,124.424617,733
146,1944.974841,737
147,279.976593,733
148,280.149128,733
149,63.849671,733
150,49.502843,733
151,33.327291,733
152,39.155643,733
153,252.217924,734
154,415.373877,733
155,34.174892,733
156,137.947411,733
157,212.465412,733
158,55.596553,733
159,517.221613,733
160,5.680016,733
161,125.175026,733
162,424.798966,733
163,34.512129,733
164,1405.744223,737
165,16.53721,737
166,27.528004,737
167,8.991511,737
168,3.295453,737
169,18322.29788,733
170,59.344763,734
171,14678.16312,734
172,326.703494,737
173,5.858174,737
174,14764.11992,735
175,24.715896,737
176,13862.86008,736
177,27.78862,737
178,1995.029576,737
179,210.138171,737
