id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.1470265E+03, -0.4207604E+02,     1.062,     1.186
           2,  0.1470265E+03, -0.4207591E+02,     1.813,     2.084
           3,  0.1470264E+03, -0.4207583E+02,     1.185,     1.407
           4,  0.1470263E+03, -0.4207597E+02,     1.659,     1.905
           5,  0.1470265E+03, -0.4207627E+02,     1.104,     1.233
           6,  0.1470266E+03, -0.4207613E+02,     2.030,     2.278
           7,  0.1470264E+03, -0.4207608E+02,     1.358,     1.520
           8,  0.1470264E+03, -0.4207621E+02,     1.853,     2.086
           9,  0.1470267E+03, -0.4207636E+02,     1.062,     1.217
          10,  0.1470265E+03, -0.4207632E+02,     1.055,     1.185
          11,  0.1470265E+03, -0.4207641E+02,     0.975,     1.124
          12,  0.1470266E+03, -0.4207644E+02,     1.217,     1.436
          13,  0.1470268E+03, -0.4207596E+02,     1.071,     1.197
          14,  0.1470266E+03, -0.4207587E+02,     1.821,     2.083
          15,  0.1470266E+03, -0.4207579E+02,     0.859,     1.017
          16,  0.1470269E+03, -0.4207619E+02,     1.110,     1.241
          17,  0.1470267E+03, -0.4207609E+02,     2.026,     2.264
          18,  0.1470268E+03, -0.4207632E+02,     2.258,     2.573
          19,  0.1470269E+03, -0.4207643E+02,     1.285,     1.508
          20,  0.1470266E+03, -0.4207600E+02,     1.064,     1.188
          21,  0.1470265E+03, -0.4207581E+02,     1.133,     1.339
          22,  0.1470267E+03, -0.4207623E+02,     1.108,     1.238
          23,  0.1470268E+03, -0.4207645E+02,     1.370,     1.683
          24,  0.1470267E+03, -0.4207642E+02,     0.803,     0.997
          25,  0.1470267E+03, -0.4207648E+02,     1.217,     1.647
          26,  0.1469839E+03, -0.4207308E+02,     0.809,    96.121
          27,  0.1469839E+03, -0.4207307E+02,     0.852,   189.490
          28,  0.1469839E+03, -0.4207305E+02,     0.892,   195.759
          29,  0.1469839E+03, -0.4207312E+02,     0.612,     0.932
