id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.1470265E+03, -0.4207604E+02,     1.062,     1.232
           2,  0.1470265E+03, -0.4207591E+02,     1.809,     2.187
           3,  0.1470264E+03, -0.4207583E+02,     1.180,     1.504
           4,  0.1470263E+03, -0.4207597E+02,     1.655,     1.999
           5,  0.1470265E+03, -0.4207627E+02,     1.104,     1.282
           6,  0.1470266E+03, -0.4207613E+02,     2.026,     2.366
           7,  0.1470264E+03, -0.4207608E+02,     1.357,     1.579
           8,  0.1470264E+03, -0.4207621E+02,     1.845,     2.166
           9,  0.1470267E+03, -0.4207636E+02,     1.059,     1.275
          10,  0.1470265E+03, -0.4207632E+02,     1.052,     1.232
          11,  0.1470265E+03, -0.4207641E+02,     0.970,     1.179
          12,  0.1470266E+03, -0.4207644E+02,     1.214,     1.529
          13,  0.1470268E+03, -0.4207596E+02,     1.070,     1.244
          14,  0.1470266E+03, -0.4207587E+02,     1.817,     2.186
          15,  0.1470266E+03, -0.4207579E+02,     0.859,     1.087
          16,  0.1470269E+03, -0.4207619E+02,     1.109,     1.289
          17,  0.1470267E+03, -0.4207609E+02,     2.022,     2.352
          18,  0.1470268E+03, -0.4207632E+02,     2.251,     2.698
          19,  0.1470269E+03, -0.4207643E+02,     1.285,     1.605
          20,  0.1470266E+03, -0.4207600E+02,     1.063,     1.235
          21,  0.1470265E+03, -0.4207581E+02,     1.130,     1.432
          22,  0.1470267E+03, -0.4207623E+02,     1.108,     1.286
          23,  0.1470268E+03, -0.4207645E+02,     1.366,     1.844
          24,  0.1470267E+03, -0.4207642E+02,     0.799,     1.092
          25,  0.1470267E+03, -0.4207648E+02,     1.212,     1.989
          26,  0.1469839E+03, -0.4207308E+02,     0.807,   244.768
          27,  0.1469839E+03, -0.4207307E+02,     0.851,   100.472
          28,  0.1469839E+03, -0.4207305E+02,     0.891,    38.619
          29,  0.1469839E+03, -0.4207312E+02,     0.614,     1.252
          30,  0.1469839E+03, -0.4207311E+02,     0.747,     1.964
          31,  0.1469839E+03, -0.4207310E+02,     0.782,     2.063
          32,  0.1469839E+03, -0.4207317E+02,     0.611,     1.243
          33,  0.1469839E+03, -0.4207315E+02,     0.673,     1.464
          34,  0.1469839E+03, -0.4207314E+02,     0.696,     1.510
          35,  0.1469839E+03, -0.4207321E+02,     0.763,   225.833
          36,  0.1469839E+03, -0.4207319E+02,     0.745,     1.967
          37,  0.1469838E+03, -0.4207318E+02,     0.780,     2.065
          38,  0.1469839E+03, -0.4207324E+02,     0.874,    94.082
          39,  0.1469838E+03, -0.4207323E+02,     0.884,    74.984
          40,  0.1469844E+03, -0.4207325E+02,     0.749,    63.756
          41,  0.1469844E+03, -0.4207322E+02,     0.794,   568.854
          42,  0.1469843E+03, -0.4207308E+02,     5.885,   826.190
          43,  0.1469844E+03, -0.4207326E+02,     0.560,   111.314
          44,  0.1469845E+03, -0.4207323E+02,     1.164,   122.091
          45,  0.1469845E+03, -0.4207315E+02,     1.646,   140.456
          46,  0.1469844E+03, -0.4207306E+02,     2.572,   316.948
          47,  0.1469844E+03, -0.4207329E+02,     0.642,     1.323
          48,  0.1469843E+03, -0.4207326E+02,     0.727,     1.914
          49,  0.1469844E+03, -0.4207328E+02,     0.693,     2.031
          50,  0.1469843E+03, -0.4207333E+02,     0.636,     1.310
          51,  0.1469843E+03, -0.4207330E+02,     0.657,     1.487
          52,  0.1469844E+03, -0.4207335E+02,     0.456,     0.986
          53,  0.1469844E+03, -0.4207330E+02,     0.546,     1.171
          54,  0.1469843E+03, -0.4207337E+02,     0.718,    63.082
          55,  0.1469843E+03, -0.4207334E+02,     0.709,     1.980
          56,  0.1469843E+03, -0.4207337E+02,     0.669,     1.938
          57,  0.1469843E+03, -0.4207338E+02,     0.784,    48.925
          58,  0.1469841E+03, -0.4207339E+02,     5.742,   617.262
          59,  0.1469842E+03, -0.4207351E+02,     2.184,   586.411
          60,  0.1469843E+03, -0.4207350E+02,     1.206,   154.416
          61,  0.1469843E+03, -0.4207344E+02,     0.957,    46.911
          62,  0.1469843E+03, -0.4207339E+02,     0.647,    73.746
          63,  0.1469840E+03, -0.4207310E+02,     0.828,   167.091
          64,  0.1469840E+03, -0.4207308E+02,     0.850,    81.944
          65,  0.1469839E+03, -0.4207314E+02,     0.636,     1.296
          66,  0.1469840E+03, -0.4207312E+02,     0.737,     1.961
          67,  0.1469839E+03, -0.4207318E+02,     0.627,     1.276
          68,  0.1469840E+03, -0.4207317E+02,     0.660,     1.441
          69,  0.1469839E+03, -0.4207322E+02,     0.782,   418.101
          70,  0.1469839E+03, -0.4207321E+02,     0.736,     1.954
          71,  0.1469839E+03, -0.4207325E+02,     0.836,    46.901
          72,  0.1469840E+03, -0.4207311E+02,     0.817,   106.392
          73,  0.1469840E+03, -0.4207310E+02,     0.859,    50.305
          74,  0.1469840E+03, -0.4207315E+02,     0.631,     1.288
          75,  0.1469840E+03, -0.4207314E+02,     0.743,     1.991
          76,  0.1469840E+03, -0.4207319E+02,     0.621,     1.266
          77,  0.1469840E+03, -0.4207318E+02,     0.669,     1.467
          78,  0.1469840E+03, -0.4207324E+02,     0.777,   178.452
          79,  0.1469840E+03, -0.4207322E+02,     0.735,     1.962
          80,  0.1469840E+03, -0.4207326E+02,     0.846,    32.851
          81,  0.1469841E+03, -0.4207313E+02,     0.812,   171.216
          82,  0.1469841E+03, -0.4207311E+02,     0.855,    33.332
          83,  0.1469840E+03, -0.4207317E+02,     0.632,     1.290
          84,  0.1469841E+03, -0.4207316E+02,     0.747,     1.997
          85,  0.1469840E+03, -0.4207321E+02,     0.624,     1.273
          86,  0.1469841E+03, -0.4207320E+02,     0.678,     1.491
          87,  0.1469840E+03, -0.4207325E+02,     0.766,    78.368
          88,  0.1469840E+03, -0.4207324E+02,     0.742,     1.998
          89,  0.1469840E+03, -0.4207328E+02,     0.850,    35.055
          90,  0.1469841E+03, -0.4207314E+02,     0.810,   125.873
          91,  0.1469842E+03, -0.4207313E+02,     0.839,   132.743
          92,  0.1469841E+03, -0.4207319E+02,     0.632,     1.293
          93,  0.1469841E+03, -0.4207317E+02,     0.745,     1.977
          94,  0.1469841E+03, -0.4207323E+02,     0.630,     1.286
          95,  0.1469841E+03, -0.4207322E+02,     0.669,     1.476
          96,  0.1469841E+03, -0.4207327E+02,     0.768,   132.077
          97,  0.1469841E+03, -0.4207326E+02,     0.740,     1.968
          98,  0.1469841E+03, -0.4207330E+02,     0.851,   162.024
          99,  0.1469842E+03, -0.4207316E+02,     0.801,   111.809
         100,  0.1469842E+03, -0.4207315E+02,     0.822,    94.768
         101,  0.1469842E+03, -0.4207320E+02,     0.638,     1.307
         102,  0.1469842E+03, -0.4207319E+02,     0.721,     1.959
         103,  0.1469841E+03, -0.4207324E+02,     0.624,     1.276
         104,  0.1469842E+03, -0.4207323E+02,     0.659,     1.456
         105,  0.1469841E+03, -0.4207329E+02,     0.761,   130.033
         106,  0.1469841E+03, -0.4207327E+02,     0.728,     1.948
         107,  0.1469841E+03, -0.4207331E+02,     0.823,   167.230
         108,  0.1469842E+03, -0.4207318E+02,     0.807,   302.671
         109,  0.1469843E+03, -0.4207317E+02,     0.791,    27.919
         110,  0.1469842E+03, -0.4207322E+02,     0.642,     1.317
         111,  0.1469842E+03, -0.4207321E+02,     0.713,     1.943
