id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.1470265E+03, -0.4207604E+02,     1.062,     1.283
           2,  0.1470265E+03, -0.4207591E+02,     1.809,     2.313
           3,  0.1470264E+03, -0.4207583E+02,     1.180,     1.645
           4,  0.1470263E+03, -0.4207597E+02,     1.655,     2.115
           5,  0.1470265E+03, -0.4207627E+02,     1.104,     1.335
           6,  0.1470266E+03, -0.4207613E+02,     2.026,     2.467
           7,  0.1470264E+03, -0.4207608E+02,     1.357,     1.646
           8,  0.1470264E+03, -0.4207621E+02,     1.845,     2.258
           9,  0.1470267E+03, -0.4207636E+02,     1.059,     1.347
          10,  0.1470265E+03, -0.4207632E+02,     1.052,     1.283
          11,  0.1470265E+03, -0.4207641E+02,     0.970,     1.245
          12,  0.1470266E+03, -0.4207644E+02,     1.214,     1.657
          13,  0.1470268E+03, -0.4207596E+02,     1.070,     1.295
          14,  0.1470266E+03, -0.4207587E+02,     1.817,     2.313
          15,  0.1470266E+03, -0.4207579E+02,     0.859,     1.189
          16,  0.1470269E+03, -0.4207619E+02,     1.109,     1.343
          17,  0.1470267E+03, -0.4207609E+02,     2.022,     2.452
          18,  0.1470268E+03, -0.4207632E+02,     2.251,     2.849
          19,  0.1470269E+03, -0.4207643E+02,     1.285,     1.740
          20,  0.1470266E+03, -0.4207600E+02,     1.063,     1.286
          21,  0.1470265E+03, -0.4207581E+02,     1.130,     1.566
          22,  0.1470267E+03, -0.4207623E+02,     1.108,     1.340
          23,  0.1470268E+03, -0.4207645E+02,     1.366,     2.080
          24,  0.1470267E+03, -0.4207642E+02,     0.799,     1.232
          25,  0.1470267E+03, -0.4207648E+02,     1.212,    85.095
          26,  0.1469839E+03, -0.4207308E+02,     0.807,   274.696
          27,  0.1469839E+03, -0.4207307E+02,     0.851,   511.582
          28,  0.1469839E+03, -0.4207305E+02,     0.891,   296.291
          29,  0.1469839E+03, -0.4207312E+02,     0.619,     1.263
          30,  0.1469839E+03, -0.4207311E+02,     0.747,     2.074
          31,  0.1469839E+03, -0.4207310E+02,     0.782,     2.194
          32,  0.1469839E+03, -0.4207317E+02,     0.615,     1.253
