id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.1469842E+03, -0.4207309E+02,     5.449,    10.584
           2,  0.1469840E+03, -0.4207329E+02,     6.026,   167.977
           3,  0.1469837E+03, -0.4207310E+02,     5.443,   476.589
           4,  0.1469842E+03, -0.4207327E+02,     4.569,    43.024
           5,  0.1469843E+03, -0.4207288E+02,     5.156,    10.515
           6,  0.1469844E+03, -0.4207322E+02,     4.531,     6.673
           7,  0.1469846E+03, -0.4207307E+02,     4.422,     6.074
           8,  0.1469846E+03, -0.4207290E+02,     3.924,     6.262
           9,  0.1469842E+03, -0.4207259E+02,     7.370,   148.656
          10,  0.1469838E+03, -0.4207259E+02,     6.240,   638.218
          11,  0.1469837E+03, -0.4207346E+02,     6.022,    11.762
          12,  0.1469841E+03, -0.4207342E+02,     4.142,     6.525
          13,  0.1469839E+03, -0.4207359E+02,     5.239,     8.026
          14,  0.1469834E+03, -0.4207326E+02,     4.931,   382.813
          15,  0.1469835E+03, -0.4207368E+02,     4.073,     7.267
          16,  0.1469833E+03, -0.4207337E+02,     5.748,   293.601
          17,  0.1469833E+03, -0.4207359E+02,     5.447,    48.677
          18,  0.1469833E+03, -0.4207316E+02,     6.222,   924.062
          19,  0.1469846E+03, -0.4207342E+02,     4.193,     5.394
          20,  0.1469844E+03, -0.4207354E+02,     5.187,     6.834
          21,  0.1469849E+03, -0.4207326E+02,     3.855,     4.840
          22,  0.1469848E+03, -0.4207292E+02,     3.562,     4.551
          23,  0.1469850E+03, -0.4207313E+02,     3.907,     4.769
          24,  0.1469848E+03, -0.4207364E+02,     3.188,     3.820
          25,  0.1469851E+03, -0.4207330E+02,     3.069,     3.580
          26,  0.1469851E+03, -0.4207356E+02,     3.628,     4.250
          27,  0.1469845E+03, -0.4207262E+02,     5.368,     8.630
          28,  0.1469850E+03, -0.4207273E+02,     4.490,     5.599
          29,  0.1469848E+03, -0.4207254E+02,     4.560,     6.117
          30,  0.1469842E+03, -0.4207233E+02,     6.549,    12.042
          31,  0.1469846E+03, -0.4207240E+02,     5.530,     8.515
          32,  0.1469838E+03, -0.4207232E+02,     5.630,   578.153
          33,  0.1469835E+03, -0.4207227E+02,     7.392,   749.730
          34,  0.1469843E+03, -0.4207209E+02,     5.657,     9.713
          35,  0.1469839E+03, -0.4207201E+02,     6.953,    45.832
          36,  0.1469837E+03, -0.4207381E+02,     4.998,     6.804
          37,  0.1469842E+03, -0.4207371E+02,     4.285,     5.651
          38,  0.1469841E+03, -0.4207390E+02,     3.978,     5.118
          39,  0.1469833E+03, -0.4207380E+02,     5.180,     8.239
          40,  0.1469836E+03, -0.4207402E+02,     4.767,     6.113
          41,  0.1469833E+03, -0.4207399E+02,     4.356,     5.748
          42,  0.1469846E+03, -0.4207376E+02,     4.293,     5.317
          43,  0.1469843E+03, -0.4207387E+02,     3.664,     4.540
          44,  0.1469829E+03, -0.4207341E+02,     5.534,   397.651
          45,  0.1469829E+03, -0.4207363E+02,     5.831,   210.500
          46,  0.1469831E+03, -0.4207390E+02,     5.147,     7.677
          47,  0.1469828E+03, -0.4207380E+02,     4.120,     6.983
          48,  0.1469827E+03, -0.4207372E+02,     4.816,   257.150
          49,  0.1469825E+03, -0.4207348E+02,     5.152,   244.773
          50,  0.1469850E+03, -0.4207377E+02,     3.771,     4.361
          51,  0.1469845E+03, -0.4207396E+02,     3.362,     3.973
          52,  0.1469847E+03, -0.4207407E+02,     3.953,     4.590
          53,  0.1469850E+03, -0.4207396E+02,     3.689,     4.264
          54,  0.1469852E+03, -0.4207293E+02,     3.377,     3.930
          55,  0.1469854E+03, -0.4207329E+02,     3.695,     4.219
          56,  0.1469855E+03, -0.4207305E+02,     3.277,     3.704
          57,  0.1469850E+03, -0.4207251E+02,     3.635,     4.407
          58,  0.1469854E+03, -0.4207282E+02,     3.337,     3.815
          59,  0.1469854E+03, -0.4207260E+02,     4.743,     5.487
          60,  0.1469854E+03, -0.4207355E+02,     3.377,     3.815
          61,  0.1469852E+03, -0.4207388E+02,     3.932,     4.450
          62,  0.1469855E+03, -0.4207372E+02,     3.128,     3.532
          63,  0.1469857E+03, -0.4207335E+02,     4.060,     4.528
          64,  0.1469856E+03, -0.4207359E+02,     2.881,     3.227
          65,  0.1469847E+03, -0.4207217E+02,     5.332,     7.111
          66,  0.1469850E+03, -0.4207225E+02,     4.629,     5.631
          67,  0.1469844E+03, -0.4207182E+02,     5.040,     7.143
          68,  0.1469848E+03, -0.4207191E+02,     5.114,     6.547
          69,  0.1469836E+03, -0.4207196E+02,     7.193,   589.361
          70,  0.1469833E+03, -0.4207184E+02,     6.791,   785.698
          71,  0.1469840E+03, -0.4207174E+02,     7.004,    57.015
          72,  0.1469835E+03, -0.4207173E+02,     6.113,   333.164
          73,  0.1469845E+03, -0.4207156E+02,     4.752,     6.290
          74,  0.1469840E+03, -0.4207145E+02,     6.637,    11.421
          75,  0.1469843E+03, -0.4207139E+02,     5.488,     7.650
          76,  0.1469840E+03, -0.4207411E+02,     4.021,     4.826
          77,  0.1469845E+03, -0.4207417E+02,     3.695,     4.304
          78,  0.1469842E+03, -0.4207426E+02,     3.943,     4.611
          79,  0.1469835E+03, -0.4207427E+02,     4.081,     4.934
          80,  0.1469837E+03, -0.4207436E+02,     4.058,     4.803
          81,  0.1469832E+03, -0.4207423E+02,     4.627,     5.812
          82,  0.1469828E+03, -0.4207399E+02,     4.978,     6.833
          83,  0.1469829E+03, -0.4207427E+02,     3.761,     4.715
          84,  0.1469835E+03, -0.4207446E+02,     3.917,     4.615
          85,  0.1469830E+03, -0.4207441E+02,     3.693,     4.378
          86,  0.1469832E+03, -0.4207456E+02,     3.761,     4.383
          87,  0.1469824E+03, -0.4207379E+02,     4.980,     8.214
          88,  0.1469825E+03, -0.4207404E+02,     5.676,     7.745
          89,  0.1469822E+03, -0.4207355E+02,     7.554,   475.436
          90,  0.1469821E+03, -0.4207386E+02,     5.408,     8.415
          91,  0.1469819E+03, -0.4207368E+02,     5.776,    11.968
          92,  0.1469819E+03, -0.4207331E+02,     5.980,   481.533
          93,  0.1469850E+03, -0.4207418E+02,     3.924,     4.452
          94,  0.1469845E+03, -0.4207437E+02,     3.472,     3.962
          95,  0.1469847E+03, -0.4207448E+02,     3.636,     4.101
          96,  0.1469855E+03, -0.4207413E+02,     3.950,     4.471
          97,  0.1469853E+03, -0.4207430E+02,     3.537,     3.977
          98,  0.1469858E+03, -0.4207312E+02,     2.790,     3.115
          99,  0.1469858E+03, -0.4207276E+02,     2.996,     3.358
         100,  0.1469859E+03, -0.4207298E+02,     2.918,     3.263
         101,  0.1469861E+03, -0.4207341E+02,     3.371,     3.760
         102,  0.1469860E+03, -0.4207316E+02,     3.324,     3.666
         103,  0.1469857E+03, -0.4207254E+02,     3.813,     4.338
         104,  0.1469854E+03, -0.4207233E+02,     4.198,     4.850
         105,  0.1469857E+03, -0.4207230E+02,     3.461,     3.939
         106,  0.1469861E+03, -0.4207280E+02,     3.138,     3.479
         107,  0.1469859E+03, -0.4207235E+02,     3.119,     3.481
         108,  0.1469862E+03, -0.4207265E+02,     3.669,     4.107
         109,  0.1469862E+03, -0.4207243E+02,     3.744,     4.174
         110,  0.1469851E+03, -0.4207200E+02,     4.438,     5.275
         111,  0.1469856E+03, -0.4207214E+02,     3.878,     4.482
         112,  0.1469857E+03, -0.4207397E+02,     3.416,     3.815
         113,  0.1469860E+03, -0.4207364E+02,     2.808,     3.117
         114,  0.1469860E+03, -0.4207383E+02,     3.567,     3.992
         115,  0.1469855E+03, -0.4207436E+02,     3.507,     3.914
         116,  0.1469860E+03, -0.4207405E+02,     3.292,     3.664
         117,  0.1469860E+03, -0.4207426E+02,     3.859,     4.316
         118,  0.1469864E+03, -0.4207334E+02,     2.771,     3.052
         119,  0.1469862E+03, -0.4207372E+02,     3.509,     3.870
         120,  0.1469865E+03, -0.4207356E+02,     3.200,     3.560
         121,  0.1469849E+03, -0.4207166E+02,     5.522,     6.732
         122,  0.1469853E+03, -0.4207177E+02,     4.194,     4.924
         123,  0.1469846E+03, -0.4207132E+02,     4.929,     6.361
         124,  0.1469851E+03, -0.4207142E+02,     4.542,     5.421
         125,  0.1469849E+03, -0.4207127E+02,     4.344,     5.277
         126,  0.1469835E+03, -0.4207144E+02,     5.830,   286.621
         127,  0.1469833E+03, -0.4207139E+02,     7.272,   733.866
         128,  0.1469841E+03, -0.4207120E+02,     5.191,     7.796
         129,  0.1469835E+03, -0.4207122E+02,     7.277,   519.930
         130,  0.1469838E+03, -0.4207104E+02,     5.406,     9.160
         131,  0.1469847E+03, -0.4207109E+02,     4.918,     6.219
         132,  0.1469843E+03, -0.4207097E+02,     6.320,     8.456
         133,  0.1469840E+03, -0.4207450E+02,     4.010,     4.593
         134,  0.1469842E+03, -0.4207462E+02,     4.119,     4.667
         135,  0.1469835E+03, -0.4207465E+02,     3.442,     3.930
         136,  0.1469838E+03, -0.4207474E+02,     3.771,     4.280
         137,  0.1469826E+03, -0.4207431E+02,     4.404,     5.532
         138,  0.1469828E+03, -0.4207461E+02,     4.109,     4.812
         139,  0.1469825E+03, -0.4207449E+02,     3.797,     4.505
         140,  0.1469822E+03, -0.4207411E+02,     5.233,     7.091
         141,  0.1469823E+03, -0.4207436E+02,     4.253,     5.303
         142,  0.1469830E+03, -0.4207476E+02,     4.345,     4.977
         143,  0.1469832E+03, -0.4207490E+02,     4.055,     4.602
         144,  0.1469826E+03, -0.4207486E+02,     4.015,     4.604
         145,  0.1469828E+03, -0.4207498E+02,     3.250,     3.690
         146,  0.1469818E+03, -0.4207385E+02,     4.649,     7.472
         147,  0.1469819E+03, -0.4207414E+02,     6.833,     9.384
         148,  0.1469816E+03, -0.4207344E+02,     5.638,   410.450
         149,  0.1469814E+03, -0.4207378E+02,     7.415,    13.172
         150,  0.1469813E+03, -0.4207350E+02,     6.189,   382.060
         151,  0.1469814E+03, -0.4207327E+02,     7.430,   773.600
         152,  0.1469845E+03, -0.4207473E+02,     3.739,     4.205
         153,  0.1469850E+03, -0.4207460E+02,     3.095,     3.472
         154,  0.1469848E+03, -0.4207484E+02,     3.934,     4.385
         155,  0.1469840E+03, -0.4207485E+02,     3.439,     3.862
         156,  0.1469843E+03, -0.4207497E+02,     3.634,     4.057
         157,  0.1469856E+03, -0.4207461E+02,     3.242,     3.625
         158,  0.1469853E+03, -0.4207471E+02,     3.717,     4.125
         159,  0.1469863E+03, -0.4207309E+02,     3.686,     4.104
         160,  0.1469863E+03, -0.4207287E+02,     2.857,     3.162
         161,  0.1469865E+03, -0.4207293E+02,     2.763,     3.038
         162,  0.1469868E+03, -0.4207316E+02,     3.841,     4.265
         163,  0.1469861E+03, -0.4207220E+02,     3.264,     3.677
         164,  0.1469857E+03, -0.4207191E+02,     3.518,     4.008
         165,  0.1469860E+03, -0.4207198E+02,     4.144,     4.666
         166,  0.1469865E+03, -0.4207250E+02,     3.053,     3.379
         167,  0.1469867E+03, -0.4207271E+02,     4.337,     4.820
         168,  0.1469863E+03, -0.4207207E+02,     3.338,     3.720
         169,  0.1469867E+03, -0.4207232E+02,     3.280,     3.662
