id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.1470265E+03, -0.4207604E+02,     1.062,     1.208
           2,  0.1470265E+03, -0.4207591E+02,     1.809,     2.133
           3,  0.1470264E+03, -0.4207583E+02,     1.180,     1.453
           4,  0.1470263E+03, -0.4207597E+02,     1.655,     1.950
           5,  0.1470265E+03, -0.4207627E+02,     1.104,     1.257
           6,  0.1470266E+03, -0.4207613E+02,     2.026,     2.321
           7,  0.1470264E+03, -0.4207608E+02,     1.357,     1.549
           8,  0.1470264E+03, -0.4207621E+02,     1.845,     2.125
           9,  0.1470267E+03, -0.4207636E+02,     1.059,     1.245
          10,  0.1470265E+03, -0.4207632E+02,     1.052,     1.208
          11,  0.1470265E+03, -0.4207641E+02,     0.970,     1.151
          12,  0.1470266E+03, -0.4207644E+02,     1.214,     1.480
          13,  0.1470268E+03, -0.4207596E+02,     1.070,     1.220
          14,  0.1470266E+03, -0.4207587E+02,     1.817,     2.133
          15,  0.1470266E+03, -0.4207579E+02,     0.859,     1.050
          16,  0.1470269E+03, -0.4207619E+02,     1.109,     1.264
          17,  0.1470267E+03, -0.4207609E+02,     2.022,     2.307
          18,  0.1470268E+03, -0.4207632E+02,     2.251,     2.634
          19,  0.1470269E+03, -0.4207643E+02,     1.285,     1.554
          20,  0.1470266E+03, -0.4207600E+02,     1.063,     1.211
          21,  0.1470265E+03, -0.4207581E+02,     1.130,     1.383
          22,  0.1470267E+03, -0.4207623E+02,     1.108,     1.261
          23,  0.1470268E+03, -0.4207645E+02,     1.366,     1.757
          24,  0.1470267E+03, -0.4207642E+02,     0.799,     1.041
          25,  0.1470267E+03, -0.4207648E+02,     1.212,     1.787
          26,  0.1469839E+03, -0.4207308E+02,     0.807,   138.315
          27,  0.1469839E+03, -0.4207307E+02,     0.851,   200.120
          28,  0.1469839E+03, -0.4207305E+02,     0.891,   213.983
          29,  0.1469839E+03, -0.4207312E+02,     0.619,     1.007
          30,  0.1469839E+03, -0.4207311E+02,     0.747,     1.619
          31,  0.1469839E+03, -0.4207310E+02,     0.782,     1.693
          32,  0.1469839E+03, -0.4207317E+02,     0.615,     0.999
          33,  0.1469839E+03, -0.4207315E+02,     0.673,     1.208
          34,  0.1469839E+03, -0.4207314E+02,     0.696,     1.246
          35,  0.1469839E+03, -0.4207321E+02,     0.763,   174.550
          36,  0.1469839E+03, -0.4207319E+02,     0.745,     1.617
          37,  0.1469838E+03, -0.4207318E+02,     0.780,     1.691
          38,  0.1469839E+03, -0.4207324E+02,     0.874,   198.053
          39,  0.1469838E+03, -0.4207323E+02,     0.884,   202.921
          40,  0.1469844E+03, -0.4207325E+02,     0.749,    17.904
          41,  0.1469844E+03, -0.4207322E+02,     0.794,   156.774
          42,  0.1469843E+03, -0.4207308E+02,     5.885,  3739.798
          43,  0.1469844E+03, -0.4207326E+02,     0.560,    15.976
          44,  0.1469845E+03, -0.4207323E+02,     1.164,   138.918
          45,  0.1469845E+03, -0.4207315E+02,     1.647,   550.173
          46,  0.1469844E+03, -0.4207306E+02,     2.573,   644.263
          47,  0.1469844E+03, -0.4207329E+02,     0.646,     1.049
          48,  0.1469843E+03, -0.4207326E+02,     0.727,     1.622
          49,  0.1469844E+03, -0.4207328E+02,     0.693,     1.551
          50,  0.1469843E+03, -0.4207333E+02,     0.639,     1.040
          51,  0.1469843E+03, -0.4207330E+02,     0.657,     1.226
          52,  0.1469844E+03, -0.4207335E+02,     0.456,     0.791
          53,  0.1469844E+03, -0.4207330E+02,     0.546,     0.935
          54,  0.1469843E+03, -0.4207337E+02,     0.718,    48.618
          55,  0.1469843E+03, -0.4207334E+02,     0.709,     1.573
          56,  0.1469843E+03, -0.4207337E+02,     0.670,     1.489
          57,  0.1469843E+03, -0.4207338E+02,     0.784,   132.235
          58,  0.1469841E+03, -0.4207339E+02,     5.742,  3636.887
          59,  0.1469842E+03, -0.4207351E+02,     2.184,   351.639
          60,  0.1469843E+03, -0.4207350E+02,     1.205,   112.407
          61,  0.1469843E+03, -0.4207344E+02,     0.957,    51.113
          62,  0.1469843E+03, -0.4207339E+02,     0.647,    25.593
          63,  0.1469840E+03, -0.4207310E+02,     0.828,   193.099
          64,  0.1469840E+03, -0.4207308E+02,     0.850,   181.343
          65,  0.1469839E+03, -0.4207314E+02,     0.641,     1.041
          66,  0.1469840E+03, -0.4207312E+02,     0.737,     1.603
          67,  0.1469839E+03, -0.4207318E+02,     0.631,     1.025
          68,  0.1469840E+03, -0.4207317E+02,     0.660,     1.188
          69,  0.1469839E+03, -0.4207322E+02,     0.782,   181.865
          70,  0.1469839E+03, -0.4207321E+02,     0.736,     1.591
          71,  0.1469839E+03, -0.4207325E+02,     0.836,   176.348
          72,  0.1469840E+03, -0.4207311E+02,     0.817,   180.496
          73,  0.1469840E+03, -0.4207310E+02,     0.859,   175.846
          74,  0.1469840E+03, -0.4207315E+02,     0.636,     1.033
          75,  0.1469840E+03, -0.4207314E+02,     0.743,     1.624
          76,  0.1469840E+03, -0.4207319E+02,     0.626,     1.016
          77,  0.1469840E+03, -0.4207318E+02,     0.669,     1.210
          78,  0.1469840E+03, -0.4207324E+02,     0.777,   103.495
          79,  0.1469840E+03, -0.4207322E+02,     0.735,     1.603
          80,  0.1469840E+03, -0.4207326E+02,     0.846,   159.075
          81,  0.1469841E+03, -0.4207313E+02,     0.812,   102.477
          82,  0.1469841E+03, -0.4207311E+02,     0.855,   170.516
          83,  0.1469840E+03, -0.4207317E+02,     0.636,     1.034
          84,  0.1469841E+03, -0.4207316E+02,     0.747,     1.636
          85,  0.1469840E+03, -0.4207321E+02,     0.628,     1.021
          86,  0.1469841E+03, -0.4207320E+02,     0.678,     1.230
          87,  0.1469840E+03, -0.4207325E+02,     0.766,    91.641
          88,  0.1469840E+03, -0.4207324E+02,     0.742,     1.624
          89,  0.1469840E+03, -0.4207328E+02,     0.850,   167.443
          90,  0.1469841E+03, -0.4207314E+02,     0.810,   243.344
          91,  0.1469842E+03, -0.4207313E+02,     0.839,   168.369
          92,  0.1469841E+03, -0.4207319E+02,     0.637,     1.035
          93,  0.1469841E+03, -0.4207317E+02,     0.745,     1.630
          94,  0.1469841E+03, -0.4207323E+02,     0.634,     1.030
          95,  0.1469841E+03, -0.4207322E+02,     0.669,     1.216
          96,  0.1469841E+03, -0.4207327E+02,     0.768,    66.327
          97,  0.1469841E+03, -0.4207326E+02,     0.740,     1.622
          98,  0.1469841E+03, -0.4207330E+02,     0.851,   158.289
          99,  0.1469842E+03, -0.4207316E+02,     0.801,   190.199
         100,  0.1469842E+03, -0.4207315E+02,     0.822,   153.497
         101,  0.1469842E+03, -0.4207320E+02,     0.643,     1.045
         102,  0.1469842E+03, -0.4207319E+02,     0.721,     1.583
         103,  0.1469841E+03, -0.4207324E+02,     0.628,     1.020
         104,  0.1469842E+03, -0.4207323E+02,     0.659,     1.199
         105,  0.1469841E+03, -0.4207329E+02,     0.761,   101.451
