id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.1470265E+03, -0.4207604E+02,     1.062,     1.185
           2,  0.1470265E+03, -0.4207591E+02,     1.813,     2.083
           3,  0.1470264E+03, -0.4207583E+02,     1.185,     1.406
           4,  0.1470263E+03, -0.4207597E+02,     1.659,     1.904
           5,  0.1470265E+03, -0.4207627E+02,     1.104,     1.233
           6,  0.1470266E+03, -0.4207613E+02,     2.030,     2.278
           7,  0.1470264E+03, -0.4207608E+02,     1.358,     1.520
           8,  0.1470264E+03, -0.4207621E+02,     1.853,     2.086
           9,  0.1470267E+03, -0.4207636E+02,     1.062,     1.217
          10,  0.1470265E+03, -0.4207632E+02,     1.055,     1.185
          11,  0.1470265E+03, -0.4207641E+02,     0.975,     1.124
          12,  0.1470266E+03, -0.4207644E+02,     1.217,     1.436
          13,  0.1470268E+03, -0.4207596E+02,     1.071,     1.197
          14,  0.1470266E+03, -0.4207587E+02,     1.821,     2.082
          15,  0.1470266E+03, -0.4207579E+02,     0.859,     1.017
          16,  0.1470269E+03, -0.4207619E+02,     1.110,     1.241
          17,  0.1470267E+03, -0.4207609E+02,     2.026,     2.263
          18,  0.1470268E+03, -0.4207632E+02,     2.258,     2.573
          19,  0.1470269E+03, -0.4207643E+02,     1.285,     1.507
          20,  0.1470266E+03, -0.4207600E+02,     1.064,     1.188
          21,  0.1470265E+03, -0.4207581E+02,     1.133,     1.339
          22,  0.1470267E+03, -0.4207623E+02,     1.108,     1.238
          23,  0.1470268E+03, -0.4207645E+02,     1.370,     1.682
          24,  0.1470267E+03, -0.4207642E+02,     0.803,     0.996
          25,  0.1470267E+03, -0.4207648E+02,     1.217,     1.646
          26,  0.1469839E+03, -0.4207308E+02,     0.809,    95.140
          27,  0.1469839E+03, -0.4207307E+02,     0.852,   190.890
          28,  0.1469839E+03, -0.4207305E+02,     0.892,   212.024
          29,  0.1469839E+03, -0.4207312E+02,     0.612,     0.932
          30,  0.1469839E+03, -0.4207311E+02,     0.747,     1.440
          31,  0.1469839E+03, -0.4207310E+02,     0.782,     1.506
          32,  0.1469839E+03, -0.4207317E+02,     0.609,     0.925
          33,  0.1469839E+03, -0.4207315E+02,     0.673,     1.095
          34,  0.1469839E+03, -0.4207314E+02,     0.696,     1.130
          35,  0.1469839E+03, -0.4207321E+02,     0.766,   124.195
          36,  0.1469839E+03, -0.4207319E+02,     0.745,     1.435
          37,  0.1469838E+03, -0.4207318E+02,     0.780,     1.500
          38,  0.1469839E+03, -0.4207324E+02,     0.875,   200.225
          39,  0.1469838E+03, -0.4207323E+02,     0.885,   205.210
          40,  0.1469844E+03, -0.4207325E+02,     0.750,    10.691
          41,  0.1469844E+03, -0.4207322E+02,     0.795,    97.700
          42,  0.1469843E+03, -0.4207308E+02,     5.894,  3623.216
          43,  0.1469844E+03, -0.4207326E+02,     0.563,    13.649
          44,  0.1469845E+03, -0.4207323E+02,     1.179,    94.395
          45,  0.1469845E+03, -0.4207315E+02,     1.668,   125.932
          46,  0.1469844E+03, -0.4207306E+02,     2.599,   386.795
          47,  0.1469844E+03, -0.4207329E+02,     0.640,     0.971
          48,  0.1469843E+03, -0.4207326E+02,     0.727,     1.409
          49,  0.1469844E+03, -0.4207328E+02,     0.699,     1.331
          50,  0.1469843E+03, -0.4207333E+02,     0.633,     0.963
          51,  0.1469843E+03, -0.4207330E+02,     0.658,     1.095
          52,  0.1469844E+03, -0.4207335E+02,     0.459,     0.724
          53,  0.1469844E+03, -0.4207330E+02,     0.550,     0.859
          54,  0.1469843E+03, -0.4207337E+02,     0.721,    15.737
          55,  0.1469843E+03, -0.4207334E+02,     0.709,     1.366
          56,  0.1469843E+03, -0.4207337E+02,     0.675,     1.280
          57,  0.1469843E+03, -0.4207338E+02,     0.785,    91.712
          58,  0.1469841E+03, -0.4207339E+02,     5.756,  2634.727
          59,  0.1469842E+03, -0.4207351E+02,     2.224,   224.939
          60,  0.1469843E+03, -0.4207350E+02,     1.228,   330.755
          61,  0.1469843E+03, -0.4207344E+02,     0.973,    14.454
          62,  0.1469843E+03, -0.4207339E+02,     0.651,    15.321
          63,  0.1469840E+03, -0.4207310E+02,     0.828,    75.678
          64,  0.1469840E+03, -0.4207308E+02,     0.851,   188.253
          65,  0.1469839E+03, -0.4207314E+02,     0.634,     0.964
          66,  0.1469840E+03, -0.4207312E+02,     0.737,     1.422
          67,  0.1469839E+03, -0.4207318E+02,     0.625,     0.949
          68,  0.1469840E+03, -0.4207317E+02,     0.661,     1.076
          69,  0.1469839E+03, -0.4207322E+02,     0.785,    80.636
          70,  0.1469839E+03, -0.4207321E+02,     0.736,     1.414
          71,  0.1469839E+03, -0.4207325E+02,     0.837,   182.095
          72,  0.1469840E+03, -0.4207311E+02,     0.817,    82.544
          73,  0.1469840E+03, -0.4207310E+02,     0.860,   161.558
          74,  0.1469840E+03, -0.4207315E+02,     0.629,     0.957
          75,  0.1469840E+03, -0.4207314E+02,     0.743,     1.438
          76,  0.1469840E+03, -0.4207319E+02,     0.619,     0.941
          77,  0.1469840E+03, -0.4207318E+02,     0.669,     1.094
          78,  0.1469840E+03, -0.4207324E+02,     0.780,    51.863
          79,  0.1469840E+03, -0.4207322E+02,     0.736,     1.415
          80,  0.1469840E+03, -0.4207326E+02,     0.847,   222.490
          81,  0.1469841E+03, -0.4207313E+02,     0.812,    44.395
          82,  0.1469841E+03, -0.4207311E+02,     0.856,   189.938
          83,  0.1469840E+03, -0.4207317E+02,     0.629,     0.957
          84,  0.1469841E+03, -0.4207316E+02,     0.747,     1.444
          85,  0.1469840E+03, -0.4207321E+02,     0.622,     0.945
          86,  0.1469841E+03, -0.4207320E+02,     0.678,     1.111
          87,  0.1469840E+03, -0.4207325E+02,     0.769,    32.528
          88,  0.1469840E+03, -0.4207324E+02,     0.742,     1.432
          89,  0.1469840E+03, -0.4207328E+02,     0.851,   174.014
          90,  0.1469841E+03, -0.4207314E+02,     0.810,    65.704
          91,  0.1469842E+03, -0.4207313E+02,     0.840,   202.051
          92,  0.1469841E+03, -0.4207319E+02,     0.630,     0.958
          93,  0.1469841E+03, -0.4207317E+02,     0.745,     1.441
          94,  0.1469841E+03, -0.4207323E+02,     0.627,     0.953
          95,  0.1469841E+03, -0.4207322E+02,     0.670,     1.097
          96,  0.1469841E+03, -0.4207327E+02,     0.771,    42.051
          97,  0.1469841E+03, -0.4207326E+02,     0.740,     1.430
          98,  0.1469841E+03, -0.4207330E+02,     0.852,   169.891
          99,  0.1469842E+03, -0.4207316E+02,     0.800,    43.044
         100,  0.1469842E+03, -0.4207315E+02,     0.823,   178.516
         101,  0.1469842E+03, -0.4207320E+02,     0.636,     0.967
         102,  0.1469842E+03, -0.4207319E+02,     0.722,     1.394
         103,  0.1469841E+03, -0.4207324E+02,     0.622,     0.945
         104,  0.1469842E+03, -0.4207323E+02,     0.659,     1.081
         105,  0.1469841E+03, -0.4207329E+02,     0.764,   113.867
         106,  0.1469841E+03, -0.4207327E+02,     0.728,     1.405
         107,  0.1469841E+03, -0.4207331E+02,     0.824,   164.297
         108,  0.1469842E+03, -0.4207318E+02,     0.806,    67.505
         109,  0.1469843E+03, -0.4207317E+02,     0.792,   154.069
         110,  0.1469842E+03, -0.4207322E+02,     0.640,     0.973
         111,  0.1469842E+03, -0.4207321E+02,     0.713,     1.382
         112,  0.1469842E+03, -0.4207326E+02,     0.632,     0.960
         113,  0.1469842E+03, -0.4207325E+02,     0.639,     1.053
         114,  0.1469842E+03, -0.4207330E+02,     0.756,    97.376
         115,  0.1469842E+03, -0.4207329E+02,     0.708,     1.362
         116,  0.1469842E+03, -0.4207333E+02,     0.791,   151.767
         117,  0.1469843E+03, -0.4207320E+02,     0.798,    74.047
         118,  0.1469843E+03, -0.4207320E+02,     0.794,   162.559
         119,  0.1469843E+03, -0.4207324E+02,     0.646,     0.982
         120,  0.1469843E+03, -0.4207323E+02,     0.709,     1.375
         121,  0.1469842E+03, -0.4207328E+02,     0.629,     0.955
         122,  0.1469843E+03, -0.4207327E+02,     0.653,     1.078
         123,  0.1469842E+03, -0.4207332E+02,     0.754,   120.121
         124,  0.1469842E+03, -0.4207331E+02,     0.699,     1.346
         125,  0.1469842E+03, -0.4207335E+02,     0.779,   121.283
         126,  0.1469843E+03, -0.4207323E+02,     0.789,   204.293
         127,  0.1469843E+03, -0.4207327E+02,     0.634,     0.963
         128,  0.1469843E+03, -0.4207331E+02,     0.631,     0.959
         129,  0.1469843E+03, -0.4207335E+02,     0.749,    34.737
         130,  0.1469834E+03, -0.4207297E+02,     0.870,   217.642
         131,  0.1469835E+03, -0.4207295E+02,     1.027,   261.296
         132,  0.1469834E+03, -0.4207294E+02,     1.007,   260.076
         133,  0.1469834E+03, -0.4207302E+02,     0.677,     1.032
         134,  0.1469834E+03, -0.4207300E+02,     0.880,     1.683
         135,  0.1469834E+03, -0.4207299E+02,     0.848,     1.620
         136,  0.1469834E+03, -0.4207306E+02,     0.683,     1.040
         137,  0.1469834E+03, -0.4207305E+02,     0.789,     1.273
         138,  0.1469834E+03, -0.4207303E+02,     0.757,     1.221
         139,  0.1469834E+03, -0.4207311E+02,     0.894,   223.619
         140,  0.1469834E+03, -0.4207310E+02,     0.876,     1.673
         141,  0.1469833E+03, -0.4207308E+02,     0.849,     1.621
         142,  0.1469834E+03, -0.4207314E+02,     1.008,   246.073
         143,  0.1469833E+03, -0.4207313E+02,     0.974,   250.140
         144,  0.1469835E+03, -0.4207298E+02,     0.839,   173.920
         145,  0.1469835E+03, -0.4207296E+02,     1.034,   252.076
         146,  0.1469834E+03, -0.4207303E+02,     0.652,     0.994
         147,  0.1469835E+03, -0.4207301E+02,     0.895,     1.712
         148,  0.1469834E+03, -0.4207308E+02,     0.659,     1.004
         149,  0.1469835E+03, -0.4207306E+02,     0.791,     1.274
         150,  0.1469834E+03, -0.4207313E+02,     0.857,   250.035
         151,  0.1469834E+03, -0.4207311E+02,     0.894,     1.709
         152,  0.1469834E+03, -0.4207316E+02,     1.015,   265.189
         153,  0.1469835E+03, -0.4207299E+02,     0.840,   110.073
         154,  0.1469836E+03, -0.4207297E+02,     1.030,   277.707
         155,  0.1469835E+03, -0.4207304E+02,     0.653,     0.997
         156,  0.1469835E+03, -0.4207302E+02,     0.890,     1.704
         157,  0.1469835E+03, -0.4207309E+02,     0.659,     1.005
