id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.1470265E+03, -0.4207604E+02,     0.993,     1.067
           2,  0.1470265E+03, -0.4207591E+02,     1.681,     1.836
           3,  0.1470264E+03, -0.4207583E+02,     1.084,     1.202
           4,  0.1470263E+03, -0.4207597E+02,     1.540,     1.679
           5,  0.1470265E+03, -0.4207627E+02,     1.033,     1.110
           6,  0.1470266E+03, -0.4207613E+02,     1.901,     2.049
           7,  0.1470264E+03, -0.4207608E+02,     1.273,     1.368
           8,  0.1470264E+03, -0.4207621E+02,     1.740,     1.877
           9,  0.1470267E+03, -0.4207636E+02,     0.985,     1.075
          10,  0.1470265E+03, -0.4207632E+02,     0.990,     1.067
          11,  0.1470265E+03, -0.4207641E+02,     0.907,     0.993
          12,  0.1470266E+03, -0.4207644E+02,     1.114,     1.235
          13,  0.1470268E+03, -0.4207596E+02,     1.003,     1.077
          14,  0.1470266E+03, -0.4207587E+02,     1.687,     1.836
          15,  0.1470266E+03, -0.4207579E+02,     0.785,     0.869
          16,  0.1470269E+03, -0.4207619E+02,     1.142,     1.249
          17,  0.1470267E+03, -0.4207609E+02,     1.981,     2.147
          18,  0.1470268E+03, -0.4207632E+02,     2.376,     2.663
          19,  0.1470269E+03, -0.4207643E+02,     1.405,     1.637
          20,  0.1470266E+03, -0.4207600E+02,     0.995,     1.069
          21,  0.1470265E+03, -0.4207581E+02,     1.034,     1.145
          22,  0.1470267E+03, -0.4207623E+02,     1.084,     1.174
          23,  0.1470268E+03, -0.4207645E+02,     1.357,     1.582
          24,  0.1470267E+03, -0.4207642E+02,     0.723,     0.822
          25,  0.1470267E+03, -0.4207648E+02,     1.069,     1.256
          26,  0.1469839E+03, -0.4207308E+02,     0.659,     1.697
          27,  0.1469839E+03, -0.4207307E+02,     0.834,     6.466
          28,  0.1469839E+03, -0.4207305E+02,     0.876,     2.360
          29,  0.1469839E+03, -0.4207312E+02,     0.619,     1.535
          30,  0.1469839E+03, -0.4207311E+02,     0.840,     2.230
          31,  0.1469839E+03, -0.4207310E+02,     0.883,     2.264
          32,  0.1469839E+03, -0.4207317E+02,     0.609,     1.397
          33,  0.1469839E+03, -0.4207315E+02,     0.840,     2.062
          34,  0.1469839E+03, -0.4207314E+02,     0.873,     2.087
          35,  0.1469839E+03, -0.4207321E+02,     0.606,     1.277
          36,  0.1469839E+03, -0.4207319E+02,     0.831,     1.905
          37,  0.1469838E+03, -0.4207318E+02,     0.874,     1.955
          38,  0.1469839E+03, -0.4207324E+02,     0.851,     1.905
          39,  0.1469838E+03, -0.4207323E+02,     0.863,     1.888
          40,  0.1469844E+03, -0.4207325E+02,     0.554,     7.264
          41,  0.1469844E+03, -0.4207322E+02,     0.740,    15.868
          42,  0.1469843E+03, -0.4207308E+02,     3.902,   496.171
          43,  0.1469844E+03, -0.4207326E+02,     0.543,     9.786
          44,  0.1469845E+03, -0.4207323E+02,     1.018,    32.486
          45,  0.1469845E+03, -0.4207315E+02,     1.241,    51.870
          46,  0.1469844E+03, -0.4207306E+02,     1.731,   274.750
          47,  0.1469844E+03, -0.4207329E+02,     0.544,     1.478
          48,  0.1469843E+03, -0.4207326E+02,     0.747,     2.211
          49,  0.1469844E+03, -0.4207328E+02,     0.708,     2.844
          50,  0.1469843E+03, -0.4207333E+02,     0.529,     1.216
          51,  0.1469843E+03, -0.4207330E+02,     0.731,     1.686
          52,  0.1469844E+03, -0.4207335E+02,     0.478,     0.914
          53,  0.1469844E+03, -0.4207330E+02,     0.571,     1.216
          54,  0.1469843E+03, -0.4207337E+02,     0.538,     1.104
          55,  0.1469843E+03, -0.4207334E+02,     0.724,     1.518
          56,  0.1469843E+03, -0.4207337E+02,     0.684,     1.439
          57,  0.1469843E+03, -0.4207338E+02,     0.727,     1.480
          58,  0.1469841E+03, -0.4207339E+02,     4.122,   119.077
          59,  0.1469842E+03, -0.4207351E+02,     1.660,     4.008
          60,  0.1469843E+03, -0.4207350E+02,     0.993,     1.713
          61,  0.1469843E+03, -0.4207344E+02,     0.870,     1.540
          62,  0.1469843E+03, -0.4207339E+02,     0.616,     1.075
          63,  0.1469840E+03, -0.4207310E+02,     0.660,     2.263
          64,  0.1469840E+03, -0.4207308E+02,     0.830,     7.449
          65,  0.1469839E+03, -0.4207314E+02,     0.627,     1.580
          66,  0.1469840E+03, -0.4207312E+02,     0.823,     2.195
          67,  0.1469839E+03, -0.4207318E+02,     0.613,     1.416
          68,  0.1469840E+03, -0.4207317E+02,     0.817,     2.011
          69,  0.1469839E+03, -0.4207322E+02,     0.609,     1.301
          70,  0.1469839E+03, -0.4207321E+02,     0.816,     1.866
          71,  0.1469839E+03, -0.4207325E+02,     0.812,     1.850
          72,  0.1469840E+03, -0.4207311E+02,     0.647,     3.343
          73,  0.1469840E+03, -0.4207310E+02,     0.835,    11.375
          74,  0.1469840E+03, -0.4207315E+02,     0.618,     1.553
          75,  0.1469840E+03, -0.4207314E+02,     0.824,     2.204
          76,  0.1469840E+03, -0.4207319E+02,     0.597,     1.385
          77,  0.1469840E+03, -0.4207318E+02,     0.820,     1.999
          78,  0.1469840E+03, -0.4207324E+02,     0.597,     1.285
          79,  0.1469840E+03, -0.4207322E+02,     0.809,     1.867
          80,  0.1469840E+03, -0.4207326E+02,     0.818,     1.851
          81,  0.1469841E+03, -0.4207313E+02,     0.642,     5.356
          82,  0.1469841E+03, -0.4207311E+02,     0.827,    14.760
          83,  0.1469840E+03, -0.4207317E+02,     0.620,     1.546
          84,  0.1469841E+03, -0.4207316E+02,     0.822,     2.243
          85,  0.1469840E+03, -0.4207321E+02,     0.589,     1.377
          86,  0.1469841E+03, -0.4207320E+02,     0.823,     2.009
          87,  0.1469840E+03, -0.4207325E+02,     0.582,     1.255
          88,  0.1469840E+03, -0.4207324E+02,     0.810,     1.847
          89,  0.1469840E+03, -0.4207328E+02,     0.818,     1.826
          90,  0.1469841E+03, -0.4207314E+02,     0.628,     7.490
          91,  0.1469842E+03, -0.4207313E+02,     0.807,    21.421
          92,  0.1469841E+03, -0.4207319E+02,     0.606,     1.537
          93,  0.1469841E+03, -0.4207317E+02,     0.811,     2.237
          94,  0.1469841E+03, -0.4207323E+02,     0.581,     1.377
          95,  0.1469841E+03, -0.4207322E+02,     0.803,     1.980
          96,  0.1469841E+03, -0.4207327E+02,     0.576,     1.242
          97,  0.1469841E+03, -0.4207326E+02,     0.800,     1.824
          98,  0.1469841E+03, -0.4207330E+02,     0.815,     1.800
          99,  0.1469842E+03, -0.4207316E+02,     0.610,     6.149
         100,  0.1469842E+03, -0.4207315E+02,     0.784,    22.167
         101,  0.1469842E+03, -0.4207320E+02,     0.596,     1.526
         102,  0.1469842E+03, -0.4207319E+02,     0.775,     2.107
         103,  0.1469841E+03, -0.4207324E+02,     0.563,     1.344
         104,  0.1469842E+03, -0.4207323E+02,     0.777,     1.892
         105,  0.1469841E+03, -0.4207329E+02,     0.562,     1.211
         106,  0.1469841E+03, -0.4207327E+02,     0.777,     1.744
         107,  0.1469841E+03, -0.4207331E+02,     0.782,     1.702
         108,  0.1469842E+03, -0.4207318E+02,     0.607,     6.379
         109,  0.1469843E+03, -0.4207317E+02,     0.750,    17.522
         110,  0.1469842E+03, -0.4207322E+02,     0.586,     1.511
         111,  0.1469842E+03, -0.4207321E+02,     0.757,     2.104
         112,  0.1469842E+03, -0.4207326E+02,     0.561,     1.337
         113,  0.1469842E+03, -0.4207325E+02,     0.741,     1.785
         114,  0.1469842E+03, -0.4207330E+02,     0.547,     1.176
         115,  0.1469842E+03, -0.4207329E+02,     0.745,     1.632
         116,  0.1469842E+03, -0.4207333E+02,     0.745,     1.588
         117,  0.1469843E+03, -0.4207320E+02,     0.590,     7.495
         118,  0.1469843E+03, -0.4207320E+02,     0.746,    18.975
         119,  0.1469843E+03, -0.4207324E+02,     0.577,     1.542
         120,  0.1469843E+03, -0.4207323E+02,     0.742,     2.291
         121,  0.1469842E+03, -0.4207328E+02,     0.545,     1.297
         122,  0.1469843E+03, -0.4207327E+02,     0.743,     1.781
         123,  0.1469842E+03, -0.4207332E+02,     0.542,     1.155
         124,  0.1469842E+03, -0.4207331E+02,     0.726,     1.574
         125,  0.1469842E+03, -0.4207335E+02,     0.728,     1.535
         126,  0.1469843E+03, -0.4207323E+02,     0.572,     7.441
         127,  0.1469843E+03, -0.4207327E+02,     0.551,     1.470
         128,  0.1469843E+03, -0.4207331E+02,     0.536,     1.262
         129,  0.1469843E+03, -0.4207335E+02,     0.537,     1.132
         130,  0.1469834E+03, -0.4207297E+02,     0.737,     1.645
         131,  0.1469835E+03, -0.4207295E+02,     1.015,     2.304
         132,  0.1469834E+03, -0.4207294E+02,     0.996,     2.238
         133,  0.1469834E+03, -0.4207302E+02,     0.705,     1.631
         134,  0.1469834E+03, -0.4207300E+02,     1.006,     2.252
         135,  0.1469834E+03, -0.4207299E+02,     0.971,     2.156
         136,  0.1469834E+03, -0.4207306E+02,     0.712,     1.601
         137,  0.1469834E+03, -0.4207305E+02,     1.007,     2.206
         138,  0.1469834E+03, -0.4207303E+02,     0.968,     2.109
         139,  0.1469834E+03, -0.4207311E+02,     0.743,     1.571
         140,  0.1469834E+03, -0.4207310E+02,     0.998,     2.133
         141,  0.1469833E+03, -0.4207308E+02,     0.968,     2.067
         142,  0.1469834E+03, -0.4207314E+02,     0.994,     2.101
         143,  0.1469833E+03, -0.4207313E+02,     0.961,     2.034
         144,  0.1469835E+03, -0.4207298E+02,     0.720,     1.600
         145,  0.1469835E+03, -0.4207296E+02,     1.021,     2.343
         146,  0.1469834E+03, -0.4207303E+02,     0.687,     1.577
         147,  0.1469835E+03, -0.4207301E+02,     1.022,     2.298
         148,  0.1469834E+03, -0.4207308E+02,     0.697,     1.550
         149,  0.1469835E+03, -0.4207306E+02,     1.008,     2.209
         150,  0.1469834E+03, -0.4207313E+02,     0.725,     1.505
         151,  0.1469834E+03, -0.4207311E+02,     1.017,     2.165
         152,  0.1469834E+03, -0.4207316E+02,     1.000,     2.113
         153,  0.1469835E+03, -0.4207299E+02,     0.727,     1.617
         154,  0.1469836E+03, -0.4207297E+02,     1.017,     2.367
         155,  0.1469835E+03, -0.4207304E+02,     0.694,     1.587
         156,  0.1469835E+03, -0.4207302E+02,     1.015,     2.310
         157,  0.1469835E+03, -0.4207309E+02,     0.700,     1.554
         158,  0.1469835E+03, -0.4207307E+02,     1.014,     2.241
         159,  0.1469835E+03, -0.4207314E+02,     0.720,     1.493
         160,  0.1469835E+03, -0.4207312E+02,     0.999,     2.142
         161,  0.1469835E+03, -0.4207317E+02,     1.015,     2.155
         162,  0.1469836E+03, -0.4207300E+02,     0.731,     1.635
         163,  0.1469836E+03, -0.4207298E+02,     1.020,     2.409
         164,  0.1469836E+03, -0.4207305E+02,     0.696,     1.597
         165,  0.1469836E+03, -0.4207303E+02,     1.004,     2.312
         166,  0.1469835E+03, -0.4207310E+02,     0.696,     1.544
         167,  0.1469836E+03, -0.4207308E+02,     1.005,     2.241
         168,  0.1469835E+03, -0.4207315E+02,     0.715,     1.480
         169,  0.1469836E+03, -0.4207313E+02,     1.002,     2.160
         170,  0.1469835E+03, -0.4207318E+02,     0.990,     2.111
         171,  0.1469836E+03, -0.4207301E+02,     0.736,     1.661
         172,  0.1469837E+03, -0.4207299E+02,     0.994,     2.388
         173,  0.1469836E+03, -0.4207306E+02,     0.695,     1.604
         174,  0.1469837E+03, -0.4207304E+02,     0.999,     2.352
         175,  0.1469836E+03, -0.4207311E+02,     0.696,     1.549
         176,  0.1469836E+03, -0.4207309E+02,     0.986,     2.236
         177,  0.1469836E+03, -0.4207316E+02,     0.714,     1.480
         178,  0.1469836E+03, -0.4207314E+02,     0.981,     2.130
         179,  0.1469836E+03, -0.4207319E+02,     0.986,     2.107
         180,  0.1469837E+03, -0.4207302E+02,     0.727,     1.669
         181,  0.1469837E+03, -0.4207301E+02,     0.981,     2.404
         182,  0.1469837E+03, -0.4207307E+02,     0.697,     1.626
         183,  0.1469837E+03, -0.4207306E+02,     0.958,     2.297
         184,  0.1469837E+03, -0.4207312E+02,     0.688,     1.543
         185,  0.1469837E+03, -0.4207310E+02,     0.960,     2.214
         186,  0.1469836E+03, -0.4207317E+02,     0.699,     1.452
         187,  0.1469837E+03, -0.4207315E+02,     0.962,     2.114
         188,  0.1469837E+03, -0.4207320E+02,     0.953,     2.051
         189,  0.1469837E+03, -0.4207304E+02,     0.716,     1.675
         190,  0.1469838E+03, -0.4207302E+02,     0.930,     2.322
         191,  0.1469837E+03, -0.4207309E+02,     0.680,     1.611
         192,  0.1469838E+03, -0.4207307E+02,     0.940,     2.291
         193,  0.1469837E+03, -0.4207313E+02,     0.673,     1.520
         194,  0.1469837E+03, -0.4207311E+02,     0.940,     2.195
         195,  0.1469837E+03, -0.4207318E+02,     0.691,     1.441
         196,  0.1469837E+03, -0.4207316E+02,     0.927,     2.051
         197,  0.1469837E+03, -0.4207321E+02,     0.922,     2.001
         198,  0.1469838E+03, -0.4207305E+02,     0.699,     1.671
         199,  0.1469838E+03, -0.4207304E+02,     0.908,     2.327
         200,  0.1469838E+03, -0.4207310E+02,     0.673,     1.616
         201,  0.1469838E+03, -0.4207308E+02,     0.902,     2.235
         202,  0.1469838E+03, -0.4207314E+02,     0.675,     1.531
         203,  0.1469838E+03, -0.4207313E+02,     0.904,     2.120
         204,  0.1469837E+03, -0.4207319E+02,     0.688,     1.437
         205,  0.1469838E+03, -0.4207317E+02,     0.892,     1.976
         206,  0.1469838E+03, -0.4207322E+02,     0.900,     1.955
         207,  0.1469839E+03, -0.4207307E+02,     0.696,     1.715
         208,  0.1469838E+03, -0.4207311E+02,     0.666,     1.625
         209,  0.1469838E+03, -0.4207315E+02,     0.662,     1.511
         210,  0.1469838E+03, -0.4207320E+02,     0.671,     1.406
         211,  0.1469828E+03, -0.4207284E+02,     0.700,     1.571
         212,  0.1469828E+03, -0.4207283E+02,     1.051,     2.276
         213,  0.1469828E+03, -0.4207281E+02,     1.112,     2.385
         214,  0.1469827E+03, -0.4207289E+02,     0.748,     1.665
         215,  0.1469828E+03, -0.4207287E+02,     1.023,     2.152
         216,  0.1469827E+03, -0.4207285E+02,     0.940,     1.984
         217,  0.1469827E+03, -0.4207293E+02,     0.787,     1.684
         218,  0.1469828E+03, -0.4207292E+02,     1.025,     2.106
         219,  0.1469827E+03, -0.4207289E+02,     0.957,     1.981
         220,  0.1469827E+03, -0.4207298E+02,     0.847,     1.705
         221,  0.1469827E+03, -0.4207296E+02,     1.020,     2.045
         222,  0.1469827E+03, -0.4207294E+02,     0.975,     1.969
         223,  0.1469827E+03, -0.4207301E+02,     1.022,     2.043
         224,  0.1469826E+03, -0.4207298E+02,     0.975,     1.953
         225,  0.1469828E+03, -0.4207286E+02,     0.729,     1.619
         226,  0.1469829E+03, -0.4207284E+02,     1.046,     2.270
         227,  0.1469828E+03, -0.4207290E+02,     0.726,     1.612
         228,  0.1469829E+03, -0.4207289E+02,     1.032,     2.201
         229,  0.1469828E+03, -0.4207295E+02,     0.751,     1.614
         230,  0.1469828E+03, -0.4207293E+02,     1.014,     2.110
         231,  0.1469827E+03, -0.4207300E+02,     0.787,     1.599
         232,  0.1469828E+03, -0.4207298E+02,     1.016,     2.062
         233,  0.1469828E+03, -0.4207303E+02,     1.003,     2.019
         234,  0.1469829E+03, -0.4207287E+02,     0.721,     1.588
         235,  0.1469829E+03, -0.4207285E+02,     1.012,     2.195
         236,  0.1469829E+03, -0.4207292E+02,     0.711,     1.579
         237,  0.1469829E+03, -0.4207290E+02,     0.992,     2.122
         238,  0.1469828E+03, -0.4207296E+02,     0.718,     1.554
         239,  0.1469829E+03, -0.4207294E+02,     0.972,     2.034
         240,  0.1469828E+03, -0.4207301E+02,     0.743,     1.530
         241,  0.1469828E+03, -0.4207299E+02,     0.959,     1.954
         242,  0.1469828E+03, -0.4207303E+02,     0.952,     1.926
         243,  0.1469830E+03, -0.4207288E+02,     0.720,     1.594
         244,  0.1469830E+03, -0.4207287E+02,     0.964,     2.096
         245,  0.1469829E+03, -0.4207293E+02,     0.704,     1.572
         246,  0.1469830E+03, -0.4207291E+02,     0.939,     2.016
         247,  0.1469829E+03, -0.4207297E+02,     0.700,     1.531
         248,  0.1469829E+03, -0.4207295E+02,     0.945,     1.993
         249,  0.1469829E+03, -0.4207302E+02,     0.721,     1.511
         250,  0.1469829E+03, -0.4207300E+02,     0.918,     1.890
         251,  0.1469829E+03, -0.4207304E+02,     0.903,     1.844
         252,  0.1469830E+03, -0.4207289E+02,     0.698,     1.559
         253,  0.1469831E+03, -0.4207288E+02,     0.919,     2.003
         254,  0.1469830E+03, -0.4207294E+02,     0.686,     1.546
         255,  0.1469830E+03, -0.4207292E+02,     0.909,     1.957
         256,  0.1469830E+03, -0.4207298E+02,     0.701,     1.553
         257,  0.1469830E+03, -0.4207296E+02,     0.891,     1.888
         258,  0.1469829E+03, -0.4207302E+02,     0.717,     1.530
         259,  0.1469830E+03, -0.4207300E+02,     0.881,     1.827
         260,  0.1469829E+03, -0.4207305E+02,     0.878,     1.808
         261,  0.1469831E+03, -0.4207290E+02,     0.687,     1.549
         262,  0.1469831E+03, -0.4207289E+02,     0.890,     1.942
         263,  0.1469830E+03, -0.4207295E+02,     0.678,     1.548
         264,  0.1469831E+03, -0.4207293E+02,     0.881,     1.902
         265,  0.1469830E+03, -0.4207299E+02,     0.685,     1.539
         266,  0.1469831E+03, -0.4207297E+02,     0.867,     1.845
         267,  0.1469830E+03, -0.4207303E+02,     0.698,     1.516
         268,  0.1469830E+03, -0.4207301E+02,     0.859,     1.793
         269,  0.1469830E+03, -0.4207305E+02,     0.848,     1.760
         270,  0.1469831E+03, -0.4207291E+02,     0.695,     1.588
         271,  0.1469832E+03, -0.4207290E+02,     0.887,     1.945
         272,  0.1469831E+03, -0.4207295E+02,     0.690,     1.599
         273,  0.1469831E+03, -0.4207294E+02,     0.858,     1.865
         274,  0.1469831E+03, -0.4207299E+02,     0.692,     1.579
         275,  0.1469831E+03, -0.4207298E+02,     0.862,     1.852
         276,  0.1469831E+03, -0.4207303E+02,     0.705,     1.562
         277,  0.1469831E+03, -0.4207302E+02,     0.859,     1.813
         278,  0.1469831E+03, -0.4207306E+02,     0.862,     1.809
         279,  0.1469832E+03, -0.4207292E+02,     0.689,     1.600
         280,  0.1469832E+03, -0.4207291E+02,     0.907,     2.003
         281,  0.1469832E+03, -0.4207296E+02,     0.682,     1.619
         282,  0.1469832E+03, -0.4207295E+02,     0.869,     1.906
         283,  0.1469831E+03, -0.4207300E+02,     0.687,     1.608
         284,  0.1469832E+03, -0.4207299E+02,     0.880,     1.904
         285,  0.1469831E+03, -0.4207305E+02,     0.702,     1.600
         286,  0.1469832E+03, -0.4207303E+02,     0.882,     1.869
         287,  0.1469831E+03, -0.4207307E+02,     0.882,     1.861
         288,  0.1469832E+03, -0.4207293E+02,     0.667,     1.576
         289,  0.1469833E+03, -0.4207292E+02,     0.932,     2.067
         290,  0.1469832E+03, -0.4207298E+02,     0.665,     1.613
         291,  0.1469833E+03, -0.4207296E+02,     0.907,     1.996
         292,  0.1469832E+03, -0.4207302E+02,     0.683,     1.631
         293,  0.1469832E+03, -0.4207300E+02,     0.910,     1.975
         294,  0.1469832E+03, -0.4207306E+02,     0.710,     1.643
         295,  0.1469832E+03, -0.4207305E+02,     0.914,     1.947
         296,  0.1469832E+03, -0.4207309E+02,     0.909,     1.923
         297,  0.1469833E+03, -0.4207295E+02,     0.680,     1.599
         298,  0.1469833E+03, -0.4207293E+02,     0.960,     2.140
         299,  0.1469833E+03, -0.4207299E+02,     0.667,     1.622
         300,  0.1469833E+03, -0.4207297E+02,     0.951,     2.101
         301,  0.1469833E+03, -0.4207303E+02,     0.688,     1.640
         302,  0.1469833E+03, -0.4207302E+02,     0.941,     2.048
         303,  0.1469832E+03, -0.4207308E+02,     0.719,     1.647
         304,  0.1469833E+03, -0.4207306E+02,     0.931,     1.987
         305,  0.1469833E+03, -0.4207311E+02,     0.937,     1.985
         306,  0.1469834E+03, -0.4207296E+02,     0.709,     1.616
         307,  0.1469833E+03, -0.4207300E+02,     0.681,     1.619
         308,  0.1469833E+03, -0.4207305E+02,     0.708,     1.644
         309,  0.1469833E+03, -0.4207310E+02,     0.750,     1.653
         310,  0.1469824E+03, -0.4207282E+02,     0.987,     1.959
         311,  0.1469824E+03, -0.4207278E+02,     1.025,     2.002
         312,  0.1469824E+03, -0.4207276E+02,     1.073,     2.111
         313,  0.1469825E+03, -0.4207288E+02,     1.018,     2.031
         314,  0.1469825E+03, -0.4207284E+02,     1.244,     2.465
         315,  0.1469826E+03, -0.4207293E+02,     1.013,     2.024
         316,  0.1469825E+03, -0.4207289E+02,     1.147,     2.291
         317,  0.1469826E+03, -0.4207294E+02,     1.131,     2.273
         318,  0.1469827E+03, -0.4207272E+02,     1.178,     2.484
         319,  0.1469826E+03, -0.4207271E+02,     0.710,     1.622
         320,  0.1469827E+03, -0.4207267E+02,     1.044,     2.165
         321,  0.1469827E+03, -0.4207275E+02,     1.214,     2.579
         322,  0.1469827E+03, -0.4207275E+02,     0.700,     1.578
         323,  0.1469827E+03, -0.4207278E+02,     1.178,     2.519
         324,  0.1469827E+03, -0.4207278E+02,     0.707,     1.576
         325,  0.1469827E+03, -0.4207281E+02,     0.692,     1.550
         326,  0.1469825E+03, -0.4207279E+02,     0.986,     1.970
         327,  0.1469825E+03, -0.4207275E+02,     0.956,     2.007
         328,  0.1469825E+03, -0.4207274E+02,     1.081,     2.137
