ID,trc_tau_0,trc_epsilon,trc_fs1,trc_fs2
1,1.5000,0.1000,0.4000,0.2000
2,1.5000,0.1000,0.4000,0.2000
3,1.5000,0.1000,0.4000,0.2000
4,1.5000,0.1000,0.4000,0.2000
5,1.5000,0.1000,0.4000,0.2000
6,1.5000,0.1000,0.4000,0.2000
7,1.5000,0.1000,0.4000,0.2000
8,1.5000,0.1000,0.4000,0.2000
9,1.5000,0.1000,0.4000,0.2000
10,1.5000,0.1000,0.4000,0.2000
11,1.5000,0.1000,0.4000,0.2000
12,1.5000,0.1000,0.4000,0.2000
13,1.5000,0.1000,0.4000,0.2000
14,7.0000,0.1000,0.1000,0.2000
15,1.5000,0.1000,0.4000,0.2000
16,1.5000,0.1000,0.4000,0.2000
17,1.5000,0.1000,0.4000,0.2000
18,1.5000,0.1000,0.4000,0.2000
19,7.0000,0.1000,0.1000,0.2000
20,1.5000,0.1000,0.4000,0.2000
21,1.5000,0.1000,0.4000,0.2000
22,1.5000,0.1000,0.4000,0.2000
23,7.0000,0.1000,0.1000,0.2000
24,7.0000,0.1000,0.1000,0.2000
25,7.0000,0.1000,0.1000,0.2000
26,1.5000,0.1000,0.4000,0.2000
27,1.5000,0.1000,0.4000,0.2000
28,1.5000,0.1000,0.4000,0.2000
29,1.5000,0.1000,0.4000,0.2000
30,7.0000,0.1000,0.1000,0.2000
31,7.0000,0.1000,0.1000,0.2000
32,7.0000,0.1000,0.1000,0.2000
33,1.5000,0.1000,0.4000,0.2000
34,1.5000,0.1000,0.4000,0.2000
35,1.5000,0.1000,0.4000,0.2000
36,1.5000,0.1000,0.4000,0.2000
37,1.5000,0.1000,0.4000,0.2000
38,1.5000,0.1000,0.4000,0.2000
39,7.0000,0.1000,0.1000,0.2000
40,7.0000,0.1000,0.1000,0.2000
41,7.0000,0.1000,0.1000,0.2000
42,7.0000,0.1000,0.1000,0.2000
43,7.0000,0.1000,0.1000,0.2000
44,7.0000,0.1000,0.1000,0.2000
45,1.5000,0.1000,0.4000,0.2000
46,1.5000,0.1000,0.4000,0.2000
47,1.5000,0.1000,0.4000,0.2000
48,1.5000,0.1000,0.4000,0.2000
49,1.5000,0.1000,0.4000,0.2000
50,1.5000,0.1000,0.4000,0.2000
51,1.5000,0.1000,0.4000,0.2000
52,7.0000,0.1000,0.1000,0.2000
53,1.5000,0.1000,0.4000,0.2000
54,7.0000,0.1000,0.1000,0.2000
55,7.0000,0.1000,0.1000,0.2000
56,7.0000,0.1000,0.1000,0.2000
57,7.0000,0.1000,0.1000,0.2000
58,7.0000,0.1000,0.1000,0.2000
59,1.5000,0.1000,0.4000,0.2000
60,1.5000,0.1000,0.4000,0.2000
61,1.5000,0.1000,0.4000,0.2000
62,1.5000,0.1000,0.4000,0.2000
63,1.5000,0.1000,0.4000,0.2000
64,1.5000,0.1000,0.4000,0.2000
65,1.5000,0.1000,0.4000,0.2000
66,1.5000,0.1000,0.4000,0.2000
67,7.0000,0.1000,0.1000,0.2000
68,1.5000,0.1000,0.4000,0.2000
69,7.0000,0.1000,0.1000,0.2000
70,7.0000,0.1000,0.1000,0.2000
71,7.0000,0.1000,0.1000,0.2000
72,7.0000,0.1000,0.1000,0.2000
73,7.0000,0.1000,0.1000,0.2000
74,7.0000,0.1000,0.1000,0.2000
75,7.0000,0.1000,0.1000,0.2000
76,1.5000,0.1000,0.4000,0.2000
77,1.5000,0.1000,0.4000,0.2000
78,1.5000,0.1000,0.4000,0.2000
79,1.5000,0.1000,0.4000,0.2000
80,1.5000,0.1000,0.4000,0.2000
81,1.5000,0.1000,0.4000,0.2000
82,7.0000,0.1000,0.1000,0.2000
83,7.0000,0.1000,0.1000,0.2000
84,1.5000,0.1000,0.4000,0.2000
85,7.0000,0.1000,0.1000,0.2000
86,7.0000,0.1000,0.1000,0.2000
87,7.0000,0.1000,0.1000,0.2000
88,7.0000,0.1000,0.1000,0.2000
89,7.0000,0.1000,0.1000,0.2000
90,7.0000,0.1000,0.1000,0.2000
91,7.0000,0.1000,0.1000,0.2000
92,7.0000,0.1000,0.1000,0.2000
93,7.0000,0.1000,0.1000,0.2000
94,7.0000,0.1000,0.1000,0.2000
95,1.5000,0.1000,0.4000,0.2000
96,1.5000,0.1000,0.4000,0.2000
97,7.0000,0.1000,0.1000,0.2000
98,1.5000,0.1000,0.4000,0.2000
99,1.5000,0.1000,0.4000,0.2000
100,7.0000,0.1000,0.1000,0.2000
101,7.0000,0.1000,0.1000,0.2000
102,7.0000,0.1000,0.1000,0.2000
103,1.5000,0.1000,0.4000,0.2000
104,7.0000,0.1000,0.1000,0.2000
105,7.0000,0.1000,0.1000,0.2000
106,7.0000,0.1000,0.1000,0.2000
107,7.0000,0.1000,0.1000,0.2000
108,7.0000,0.1000,0.1000,0.2000
109,7.0000,0.1000,0.1000,0.2000
110,7.0000,0.1000,0.1000,0.2000
111,7.0000,0.1000,0.1000,0.2000
112,7.0000,0.1000,0.1000,0.2000
113,7.0000,0.1000,0.1000,0.2000
114,7.0000,0.1000,0.1000,0.2000
115,1.5000,0.1000,0.4000,0.2000
116,1.5000,0.1000,0.4000,0.2000
117,7.0000,0.1000,0.1000,0.2000
118,7.0000,0.1000,0.1000,0.2000
119,1.5000,0.1000,0.4000,0.2000
120,7.0000,0.1000,0.1000,0.2000
121,1.5000,0.1000,0.4000,0.2000
