ID,trc_tau_0,trc_epsilon,trc_fs1,trc_fs2
122,1.5000,0.1000,0.4000,0.2000
123,1.5000,0.1000,0.4000,0.2000
124,7.0000,0.1000,0.1000,0.2000
125,1.5000,0.1000,0.4000,0.2000
126,7.0000,0.1000,0.1000,0.2000
127,7.0000,0.1000,0.1000,0.2000
128,7.0000,0.1000,0.1000,0.2000
129,7.0000,0.1000,0.1000,0.2000
130,7.0000,0.1000,0.1000,0.2000
131,7.0000,0.1000,0.1000,0.2000
132,7.0000,0.1000,0.1000,0.2000
133,7.0000,0.1000,0.1000,0.2000
134,7.0000,0.1000,0.1000,0.2000
135,1.5000,0.1000,0.4000,0.2000
136,1.5000,0.1000,0.4000,0.2000
137,7.0000,0.1000,0.1000,0.2000
138,7.0000,0.1000,0.1000,0.2000
139,7.0000,0.1000,0.1000,0.2000
140,7.0000,0.1000,0.1000,0.2000
141,7.0000,0.1000,0.1000,0.2000
142,1.5000,0.1000,0.4000,0.2000
143,1.5000,0.1000,0.4000,0.2000
144,1.5000,0.1000,0.4000,0.2000
145,7.0000,0.1000,0.1000,0.2000
146,7.0000,0.1000,0.1000,0.2000
147,7.0000,0.1000,0.1000,0.2000
148,7.0000,0.1000,0.1000,0.2000
149,7.0000,0.1000,0.1000,0.2000
150,7.0000,0.1000,0.1000,0.2000
151,7.0000,0.1000,0.1000,0.2000
152,7.0000,0.1000,0.1000,0.2000
153,7.0000,0.1000,0.1000,0.2000
154,7.0000,0.1000,0.1000,0.2000
155,7.0000,0.1000,0.1000,0.2000
156,7.0000,0.1000,0.1000,0.2000
157,7.0000,0.1000,0.1000,0.2000
158,1.5000,0.1000,0.4000,0.2000
159,1.5000,0.1000,0.4000,0.2000
160,1.5000,0.1000,0.4000,0.2000
161,7.0000,0.1000,0.1000,0.2000
162,1.5000,0.1000,0.4000,0.2000
163,7.0000,0.1000,0.1000,0.2000
164,7.0000,0.1000,0.1000,0.2000
165,1.5000,0.1000,0.4000,0.2000
166,1.5000,0.1000,0.4000,0.2000
167,7.0000,0.1000,0.1000,0.2000
168,1.5000,0.1000,0.4000,0.2000
169,7.0000,0.1000,0.1000,0.2000
170,7.0000,0.1000,0.1000,0.2000
171,7.0000,0.1000,0.1000,0.2000
172,7.0000,0.1000,0.1000,0.2000
173,7.0000,0.1000,0.1000,0.2000
174,7.0000,0.1000,0.1000,0.2000
175,7.0000,0.1000,0.1000,0.2000
176,7.0000,0.1000,0.1000,0.2000
177,7.0000,0.1000,0.1000,0.2000
178,7.0000,0.1000,0.1000,0.2000
179,7.0000,0.1000,0.1000,0.2000
180,7.0000,0.1000,0.1000,0.2000
181,1.5000,0.1000,0.4000,0.2000
182,1.5000,0.1000,0.4000,0.2000
183,1.5000,0.1000,0.4000,0.2000
184,7.0000,0.1000,0.1000,0.2000
185,1.5000,0.1000,0.4000,0.2000
186,1.5000,0.1000,0.4000,0.2000
187,1.5000,0.1000,0.4000,0.2000
188,1.5000,0.1000,0.4000,0.2000
189,1.5000,0.1000,0.4000,0.2000
190,7.0000,0.1000,0.1000,0.2000
191,7.0000,0.1000,0.1000,0.2000
192,7.0000,0.1000,0.1000,0.2000
193,7.0000,0.1000,0.1000,0.2000
194,1.5000,0.1000,0.4000,0.2000
195,7.0000,0.1000,0.1000,0.2000
196,7.0000,0.1000,0.1000,0.2000
197,7.0000,0.1000,0.1000,0.2000
198,7.0000,0.1000,0.1000,0.2000
199,7.0000,0.1000,0.1000,0.2000
200,7.0000,0.1000,0.1000,0.2000
201,7.0000,0.1000,0.1000,0.2000
202,7.0000,0.1000,0.1000,0.2000
203,7.0000,0.1000,0.1000,0.2000
204,7.0000,0.1000,0.1000,0.2000
205,7.0000,0.1000,0.1000,0.2000
206,7.0000,0.1000,0.1000,0.2000
207,7.0000,0.1000,0.1000,0.2000
208,1.5000,0.1000,0.4000,0.2000
209,1.5000,0.1000,0.4000,0.2000
210,1.5000,0.1000,0.4000,0.2000
211,7.0000,0.1000,0.1000,0.2000
212,1.5000,0.1000,0.4000,0.2000
213,1.5000,0.1000,0.4000,0.2000
214,1.5000,0.1000,0.4000,0.2000
215,1.5000,0.1000,0.4000,0.2000
216,1.5000,0.1000,0.4000,0.2000
217,1.5000,0.1000,0.4000,0.2000
218,7.0000,0.1000,0.1000,0.2000
219,1.5000,0.1000,0.4000,0.2000
220,1.5000,0.1000,0.4000,0.2000
221,7.0000,0.1000,0.1000,0.2000
222,1.5000,0.1000,0.4000,0.2000
223,7.0000,0.1000,0.1000,0.2000
224,7.0000,0.1000,0.1000,0.2000
225,7.0000,0.1000,0.1000,0.2000
226,7.0000,0.1000,0.1000,0.2000
227,7.0000,0.1000,0.1000,0.2000
228,7.0000,0.1000,0.1000,0.2000
229,7.0000,0.1000,0.1000,0.2000
230,7.0000,0.1000,0.1000,0.2000
231,7.0000,0.1000,0.1000,0.2000
232,7.0000,0.1000,0.1000,0.2000
233,7.0000,0.1000,0.1000,0.2000
234,7.0000,0.1000,0.1000,0.2000
235,7.0000,0.1000,0.1000,0.2000
236,7.0000,0.1000,0.1000,0.2000
237,7.0000,0.1000,0.1000,0.2000
238,1.5000,0.1000,0.4000,0.2000
239,1.5000,0.1000,0.4000,0.2000
240,1.5000,0.1000,0.4000,0.2000
241,1.5000,0.1000,0.4000,0.2000
242,1.5000,0.1000,0.4000,0.2000
243,1.5000,0.1000,0.4000,0.2000
244,1.5000,0.1000,0.4000,0.2000
245,1.5000,0.1000,0.4000,0.2000
246,1.5000,0.1000,0.4000,0.2000
247,1.5000,0.1000,0.4000,0.2000
248,1.5000,0.1000,0.4000,0.2000
249,7.0000,0.1000,0.1000,0.2000
250,1.5000,0.1000,0.4000,0.2000
251,7.0000,0.1000,0.1000,0.2000
252,7.0000,0.1000,0.1000,0.2000
253,7.0000,0.1000,0.1000,0.2000
254,7.0000,0.1000,0.1000,0.2000
255,7.0000,0.1000,0.1000,0.2000
256,7.0000,0.1000,0.1000,0.2000
257,7.0000,0.1000,0.1000,0.2000
258,7.0000,0.1000,0.1000,0.2000
259,7.0000,0.1000,0.1000,0.2000
260,7.0000,0.1000,0.1000,0.2000
261,7.0000,0.1000,0.1000,0.2000
262,7.0000,0.1000,0.1000,0.2000
263,7.0000,0.1000,0.1000,0.2000
264,7.0000,0.1000,0.1000,0.2000
265,7.0000,0.1000,0.1000,0.2000
266,7.0000,0.1000,0.1000,0.2000
267,1.5000,0.1000,0.4000,0.2000
268,7.0000,0.1000,0.1000,0.2000
269,7.0000,0.1000,0.1000,0.2000
270,7.0000,0.1000,0.1000,0.2000
271,7.0000,0.1000,0.1000,0.2000
272,7.0000,0.1000,0.1000,0.2000
273,7.0000,0.1000,0.1000,0.2000
274,7.0000,0.1000,0.1000,0.2000
275,1.5000,0.1000,0.4000,0.2000
276,7.0000,0.1000,0.1000,0.2000
277,1.5000,0.1000,0.4000,0.2000
278,7.0000,0.1000,0.1000,0.2000
279,7.0000,0.1000,0.1000,0.2000
280,1.5000,0.1000,0.4000,0.2000
281,7.0000,0.1000,0.1000,0.2000
282,7.0000,0.1000,0.1000,0.2000
283,7.0000,0.1000,0.1000,0.2000
284,7.0000,0.1000,0.1000,0.2000
285,7.0000,0.1000,0.1000,0.2000
286,7.0000,0.1000,0.1000,0.2000
287,7.0000,0.1000,0.1000,0.2000
288,7.0000,0.1000,0.1000,0.2000
289,7.0000,0.1000,0.1000,0.2000
290,7.0000,0.1000,0.1000,0.2000
291,7.0000,0.1000,0.1000,0.2000
292,7.0000,0.1000,0.1000,0.2000
293,7.0000,0.1000,0.1000,0.2000
294,7.0000,0.1000,0.1000,0.2000
295,7.0000,0.1000,0.1000,0.2000
296,7.0000,0.1000,0.1000,0.2000
297,7.0000,0.1000,0.1000,0.2000
298,0.0400,0.1000,0.8000,0.2000
299,7.0000,0.1000,0.1000,0.2000
300,7.0000,0.1000,0.1000,0.2000
301,7.0000,0.1000,0.1000,0.2000
302,7.0000,0.1000,0.1000,0.2000
303,7.0000,0.1000,0.1000,0.2000
304,7.0000,0.1000,0.1000,0.2000
305,7.0000,0.1000,0.1000,0.2000
306,7.0000,0.1000,0.1000,0.2000
307,7.0000,0.1000,0.1000,0.2000
308,7.0000,0.1000,0.1000,0.2000
309,1.5000,0.1000,0.4000,0.2000
310,1.5000,0.1000,0.4000,0.2000
311,7.0000,0.1000,0.1000,0.2000
312,7.0000,0.1000,0.1000,0.2000
313,1.5000,0.1000,0.4000,0.2000
314,7.0000,0.1000,0.1000,0.2000
315,1.5000,0.1000,0.4000,0.2000
316,7.0000,0.1000,0.1000,0.2000
317,7.0000,0.1000,0.1000,0.2000
318,7.0000,0.1000,0.1000,0.2000
319,7.0000,0.1000,0.1000,0.2000
320,7.0000,0.1000,0.1000,0.2000
321,7.0000,0.1000,0.1000,0.2000
322,1.5000,0.1000,0.4000,0.2000
323,7.0000,0.1000,0.1000,0.2000
324,1.5000,0.1000,0.4000,0.2000
325,1.5000,0.1000,0.4000,0.2000
326,1.5000,0.1000,0.4000,0.2000
327,1.5000,0.1000,0.4000,0.2000
328,1.5000,0.1000,0.4000,0.2000
329,1.5000,0.1000,0.4000,0.2000
330,7.0000,0.1000,0.1000,0.2000
331,7.0000,0.1000,0.1000,0.2000
332,7.0000,0.1000,0.1000,0.2000
333,7.0000,0.1000,0.1000,0.2000
334,7.0000,0.1000,0.1000,0.2000
335,7.0000,0.1000,0.1000,0.2000
336,7.0000,0.1000,0.1000,0.2000
337,7.0000,0.1000,0.1000,0.2000
338,0.0400,0.1000,0.8000,0.2000
339,7.0000,0.1000,0.1000,0.2000
340,7.0000,0.1000,0.1000,0.2000
341,7.0000,0.1000,0.1000,0.2000
342,7.0000,0.1000,0.1000,0.2000
343,7.0000,0.1000,0.1000,0.2000
344,7.0000,0.1000,0.1000,0.2000
345,7.0000,0.1000,0.1000,0.2000
346,7.0000,0.1000,0.1000,0.2000
347,7.0000,0.1000,0.1000,0.2000
348,7.0000,0.1000,0.1000,0.2000
349,7.0000,0.1000,0.1000,0.2000
350,1.5000,0.1000,0.4000,0.2000
351,7.0000,0.1000,0.1000,0.2000
352,7.0000,0.1000,0.1000,0.2000
353,7.0000,0.1000,0.1000,0.2000
354,7.0000,0.1000,0.1000,0.2000
355,1.5000,0.1000,0.4000,0.2000
356,7.0000,0.1000,0.1000,0.2000
357,7.0000,0.1000,0.1000,0.2000
358,7.0000,0.1000,0.1000,0.2000
359,7.0000,0.1000,0.1000,0.2000
360,7.0000,0.1000,0.1000,0.2000
361,7.0000,0.1000,0.1000,0.2000
362,1.5000,0.1000,0.4000,0.2000
363,1.5000,0.1000,0.4000,0.2000
364,7.0000,0.1000,0.1000,0.2000
365,7.0000,0.1000,0.1000,0.2000
366,7.0000,0.1000,0.1000,0.2000
367,7.0000,0.1000,0.1000,0.2000
368,7.0000,0.1000,0.1000,0.2000
369,7.0000,0.1000,0.1000,0.2000
370,7.0000,0.1000,0.1000,0.2000
371,7.0000,0.1000,0.1000,0.2000
372,7.0000,0.1000,0.1000,0.2000
373,7.0000,0.1000,0.1000,0.2000
374,7.0000,0.1000,0.1000,0.2000
375,7.0000,0.1000,0.1000,0.2000
376,7.0000,0.1000,0.1000,0.2000
377,7.0000,0.1000,0.1000,0.2000
378,7.0000,0.1000,0.1000,0.2000
379,1.5000,0.1000,0.4000,0.2000
380,7.0000,0.1000,0.1000,0.2000
381,7.0000,0.1000,0.1000,0.2000
382,7.0000,0.1000,0.1000,0.2000
383,7.0000,0.1000,0.1000,0.2000
384,7.0000,0.1000,0.1000,0.2000
385,7.0000,0.1000,0.1000,0.2000
386,7.0000,0.1000,0.1000,0.2000
387,7.0000,0.1000,0.1000,0.2000
388,7.0000,0.1000,0.1000,0.2000
389,7.0000,0.1000,0.1000,0.2000
390,7.0000,0.1000,0.1000,0.2000
391,7.0000,0.1000,0.1000,0.2000
392,7.0000,0.1000,0.1000,0.2000
393,7.0000,0.1000,0.1000,0.2000
394,7.0000,0.1000,0.1000,0.2000
395,1.5000,0.1000,0.4000,0.2000
396,1.5000,0.1000,0.4000,0.2000
397,7.0000,0.1000,0.1000,0.2000
398,7.0000,0.1000,0.1000,0.2000
399,7.0000,0.1000,0.1000,0.2000
400,7.0000,0.1000,0.1000,0.2000
401,7.0000,0.1000,0.1000,0.2000
402,7.0000,0.1000,0.1000,0.2000
403,7.0000,0.1000,0.1000,0.2000
404,1.5000,0.1000,0.4000,0.2000
405,7.0000,0.1000,0.1000,0.2000
406,7.0000,0.1000,0.1000,0.2000
407,7.0000,0.1000,0.1000,0.2000
408,7.0000,0.1000,0.1000,0.2000
409,7.0000,0.1000,0.1000,0.2000
410,7.0000,0.1000,0.1000,0.2000
411,1.5000,0.1000,0.4000,0.2000
412,1.5000,0.1000,0.4000,0.2000
413,7.0000,0.1000,0.1000,0.2000
414,7.0000,0.1000,0.1000,0.2000
415,7.0000,0.1000,0.1000,0.2000
416,7.0000,0.1000,0.1000,0.2000
417,7.0000,0.1000,0.1000,0.2000
418,7.0000,0.1000,0.1000,0.2000
419,7.0000,0.1000,0.1000,0.2000
420,7.0000,0.1000,0.1000,0.2000
421,7.0000,0.1000,0.1000,0.2000
422,7.0000,0.1000,0.1000,0.2000
423,7.0000,0.1000,0.1000,0.2000
424,7.0000,0.1000,0.1000,0.2000
425,7.0000,0.1000,0.1000,0.2000
426,7.0000,0.1000,0.1000,0.2000
427,7.0000,0.1000,0.1000,0.2000
428,7.0000,0.1000,0.1000,0.2000
429,7.0000,0.1000,0.1000,0.2000
430,7.0000,0.1000,0.1000,0.2000
431,7.0000,0.1000,0.1000,0.2000
432,1.5000,0.1000,0.4000,0.2000
433,7.0000,0.1000,0.1000,0.2000
434,7.0000,0.1000,0.1000,0.2000
435,0.0700,0.1000,0.2000,0.2000
436,0.0700,0.1000,0.2000,0.2000
437,0.0700,0.1000,0.2000,0.2000
438,0.0700,0.1000,0.2000,0.2000
439,0.0700,0.1000,0.2000,0.2000
440,7.0000,0.1000,0.1000,0.2000
441,7.0000,0.1000,0.1000,0.2000
442,7.0000,0.1000,0.1000,0.2000
443,7.0000,0.1000,0.1000,0.2000
444,7.0000,0.1000,0.1000,0.2000
445,7.0000,0.1000,0.1000,0.2000
446,7.0000,0.1000,0.1000,0.2000
447,1.5000,0.1000,0.4000,0.2000
448,7.0000,0.1000,0.1000,0.2000
449,7.0000,0.1000,0.1000,0.2000
450,7.0000,0.1000,0.1000,0.2000
451,7.0000,0.1000,0.1000,0.2000
452,7.0000,0.1000,0.1000,0.2000
453,7.0000,0.1000,0.1000,0.2000
454,1.5000,0.1000,0.4000,0.2000
455,7.0000,0.1000,0.1000,0.2000
456,7.0000,0.1000,0.1000,0.2000
457,0.0700,0.1000,0.2000,0.2000
458,7.0000,0.1000,0.1000,0.2000
459,7.0000,0.1000,0.1000,0.2000
460,1.5000,0.1000,0.4000,0.2000
461,1.5000,0.1000,0.4000,0.2000
462,7.0000,0.1000,0.1000,0.2000
463,7.0000,0.1000,0.1000,0.2000
464,7.0000,0.1000,0.1000,0.2000
465,7.0000,0.1000,0.1000,0.2000
466,7.0000,0.1000,0.1000,0.2000
467,7.0000,0.1000,0.1000,0.2000
468,7.0000,0.1000,0.1000,0.2000
469,7.0000,0.1000,0.1000,0.2000
470,7.0000,0.1000,0.1000,0.2000
471,7.0000,0.1000,0.1000,0.2000
472,7.0000,0.1000,0.1000,0.2000
473,7.0000,0.1000,0.1000,0.2000
474,7.0000,0.1000,0.1000,0.2000
475,7.0000,0.1000,0.1000,0.2000
476,7.0000,0.1000,0.1000,0.2000
477,7.0000,0.1000,0.1000,0.2000
478,7.0000,0.1000,0.1000,0.2000
479,7.0000,0.1000,0.1000,0.2000
480,1.5000,0.1000,0.4000,0.2000
481,7.0000,0.1000,0.1000,0.2000
482,0.0700,0.1000,0.2000,0.2000
483,0.0700,0.1000,0.2000,0.2000
484,0.0700,0.1000,0.2000,0.2000
485,0.0700,0.1000,0.2000,0.2000
486,0.0700,0.1000,0.2000,0.2000
487,0.0700,0.1000,0.2000,0.2000
488,7.0000,0.1000,0.1000,0.2000
489,7.0000,0.1000,0.1000,0.2000
490,7.0000,0.1000,0.1000,0.2000
491,7.0000,0.1000,0.1000,0.2000
492,7.0000,0.1000,0.1000,0.2000
493,7.0000,0.1000,0.1000,0.2000
494,7.0000,0.1000,0.1000,0.2000
495,7.0000,0.1000,0.1000,0.2000
496,0.0700,0.1000,0.2000,0.2000
497,1.5000,0.1000,0.4000,0.2000
498,7.0000,0.1000,0.1000,0.2000
499,7.0000,0.1000,0.1000,0.2000
500,1.5000,0.1000,0.4000,0.2000
501,1.5000,0.1000,0.4000,0.2000
502,7.0000,0.1000,0.1000,0.2000
503,7.0000,0.1000,0.1000,0.2000
504,7.0000,0.1000,0.1000,0.2000
505,1.5000,0.1000,0.4000,0.2000
506,7.0000,0.1000,0.1000,0.2000
507,7.0000,0.1000,0.1000,0.2000
508,0.0700,0.1000,0.2000,0.2000
509,7.0000,0.1000,0.1000,0.2000
510,0.0700,0.1000,0.2000,0.2000
511,1.5000,0.1000,0.4000,0.2000
512,1.5000,0.1000,0.4000,0.2000
513,7.0000,0.1000,0.1000,0.2000
514,7.0000,0.1000,0.1000,0.2000
515,7.0000,0.1000,0.1000,0.2000
516,7.0000,0.1000,0.1000,0.2000
517,7.0000,0.1000,0.1000,0.2000
518,7.0000,0.1000,0.1000,0.2000
519,7.0000,0.1000,0.1000,0.2000
520,7.0000,0.1000,0.1000,0.2000
521,7.0000,0.1000,0.1000,0.2000
522,7.0000,0.1000,0.1000,0.2000
523,7.0000,0.1000,0.1000,0.2000
524,7.0000,0.1000,0.1000,0.2000
525,7.0000,0.1000,0.1000,0.2000
526,7.0000,0.1000,0.1000,0.2000
527,7.0000,0.1000,0.1000,0.2000
528,7.0000,0.1000,0.1000,0.2000
529,7.0000,0.1000,0.1000,0.2000
530,7.0000,0.1000,0.1000,0.2000
531,7.0000,0.1000,0.1000,0.2000
532,7.0000,0.1000,0.1000,0.2000
533,1.5000,0.1000,0.4000,0.2000
534,7.0000,0.1000,0.1000,0.2000
535,7.0000,0.1000,0.1000,0.2000
536,0.0700,0.1000,0.2000,0.2000
537,0.0700,0.1000,0.2000,0.2000
538,0.0700,0.1000,0.2000,0.2000
539,0.0700,0.1000,0.2000,0.2000
540,0.0700,0.1000,0.2000,0.2000
541,0.0400,0.1000,0.8000,0.2000
542,7.0000,0.1000,0.1000,0.2000
543,7.0000,0.1000,0.1000,0.2000
544,7.0000,0.1000,0.1000,0.2000
545,7.0000,0.1000,0.1000,0.2000
546,7.0000,0.1000,0.1000,0.2000
547,7.0000,0.1000,0.1000,0.2000
548,7.0000,0.1000,0.1000,0.2000
549,7.0000,0.1000,0.1000,0.2000
550,7.0000,0.1000,0.1000,0.2000
551,7.0000,0.1000,0.1000,0.2000
552,7.0000,0.1000,0.1000,0.2000
553,7.0000,0.1000,0.1000,0.2000
554,0.0700,0.1000,0.2000,0.2000
555,0.0700,0.1000,0.2000,0.2000
556,1.5000,0.1000,0.4000,0.2000
557,7.0000,0.1000,0.1000,0.2000
558,1.5000,0.1000,0.4000,0.2000
559,7.0000,0.1000,0.1000,0.2000
560,7.0000,0.1000,0.1000,0.2000
561,7.0000,0.1000,0.1000,0.2000
562,7.0000,0.1000,0.1000,0.2000
563,1.5000,0.1000,0.4000,0.2000
564,7.0000,0.1000,0.1000,0.2000
565,7.0000,0.1000,0.1000,0.2000
566,0.0700,0.1000,0.2000,0.2000
567,0.0700,0.1000,0.2000,0.2000
568,7.0000,0.1000,0.1000,0.2000
569,0.0700,0.1000,0.2000,0.2000
570,7.0000,0.1000,0.1000,0.2000
571,0.0400,0.1000,0.8000,0.2000
572,1.5000,0.1000,0.4000,0.2000
573,1.5000,0.1000,0.4000,0.2000
574,7.0000,0.1000,0.1000,0.2000
575,1.5000,0.1000,0.4000,0.2000
576,7.0000,0.1000,0.1000,0.2000
577,7.0000,0.1000,0.1000,0.2000
578,7.0000,0.1000,0.1000,0.2000
579,7.0000,0.1000,0.1000,0.2000
580,7.0000,0.1000,0.1000,0.2000
581,7.0000,0.1000,0.1000,0.2000
582,7.0000,0.1000,0.1000,0.2000
583,7.0000,0.1000,0.1000,0.2000
584,7.0000,0.1000,0.1000,0.2000
585,7.0000,0.1000,0.1000,0.2000
586,7.0000,0.1000,0.1000,0.2000
587,7.0000,0.1000,0.1000,0.2000
588,7.0000,0.1000,0.1000,0.2000
589,7.0000,0.1000,0.1000,0.2000
590,7.0000,0.1000,0.1000,0.2000
591,7.0000,0.1000,0.1000,0.2000
592,7.0000,0.1000,0.1000,0.2000
593,7.0000,0.1000,0.1000,0.2000
594,7.0000,0.1000,0.1000,0.2000
595,7.0000,0.1000,0.1000,0.2000
596,7.0000,0.1000,0.1000,0.2000
597,7.0000,0.1000,0.1000,0.2000
598,1.5000,0.1000,0.4000,0.2000
599,7.0000,0.1000,0.1000,0.2000
600,7.0000,0.1000,0.1000,0.2000
601,7.0000,0.1000,0.1000,0.2000
602,0.0700,0.1000,0.2000,0.2000
603,0.0700,0.1000,0.2000,0.2000
604,0.0400,0.1000,0.8000,0.2000
605,0.0400,0.1000,0.8000,0.2000
606,0.0400,0.1000,0.8000,0.2000
607,7.0000,0.1000,0.1000,0.2000
608,7.0000,0.1000,0.1000,0.2000
609,1.5000,0.1000,0.4000,0.2000
610,7.0000,0.1000,0.1000,0.2000
611,7.0000,0.1000,0.1000,0.2000
612,1.5000,0.1000,0.4000,0.2000
613,7.0000,0.1000,0.1000,0.2000
614,7.0000,0.1000,0.1000,0.2000
615,7.0000,0.1000,0.1000,0.2000
616,7.0000,0.1000,0.1000,0.2000
617,7.0000,0.1000,0.1000,0.2000
618,0.0700,0.1000,0.2000,0.2000
619,0.0700,0.1000,0.2000,0.2000
620,0.0700,0.1000,0.2000,0.2000
621,0.0700,0.1000,0.2000,0.2000
622,1.5000,0.1000,0.4000,0.2000
623,1.5000,0.1000,0.4000,0.2000
624,1.5000,0.1000,0.4000,0.2000
625,1.5000,0.1000,0.4000,0.2000
626,1.5000,0.1000,0.4000,0.2000
627,1.5000,0.1000,0.4000,0.2000
628,7.0000,0.1000,0.1000,0.2000
629,1.5000,0.1000,0.4000,0.2000
630,0.0700,0.1000,0.2000,0.2000
631,0.0700,0.1000,0.2000,0.2000
632,0.0700,0.1000,0.2000,0.2000
633,0.0700,0.1000,0.2000,0.2000
